Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail
IT Support (Freelance),"PT. Metrodata Electronics, Tbk",Jakarta Raya,,Teknologi Informasi & Komunikasi,Meja Bantuan & Dukungan IT,,17 jam yang lalu,Kontrak,"Deskripsi PekerjaanSMK / D3 Teknik Komputer, Teknik Informatika dan Pendidikan setara sejenisBersedia untuk BACKUP saat Hari Raya Idul Fitri 2024 Pengalaman 1 tahun sebagai Teknisi Komputer, Helpdesk, IT SupportDapat melakukan troubleshoot mobile apps, memahami proses device care maintenance android terkait isu storage atau RAM yang fullPengalaman troubleshoot hardware, software, dan networkEkspektasi secara skill adalah Desktop Support EngineerSopan, berpenampilan baik, dan Memiliki kemampuan komunikasi yang baikProaktif dan ResponsifDisiplin dan tepat waktuBersedia untuk bekerja pada after office hour jika dibutuhkanPenempatan daerah Sudirman, Narogong, Tj. Priok, CilandakDiharapkan memiliki Laptop Pribadi.",https://www.jobstreet.co.id/id/job/74395158?type=standard&ref=search-standalone
BANCASSURANCE SPECIALIST - JAKARTA SENAYAN,PT BNI Life Insurance,Jakarta Pusat,"Rp3,000,000 – Rp4,000,000 per month",Penjualan,Perwakilan/Konsultan Penjualan,,1 jam yang lalu,Full time,"BANCASSURANCE SPECIALIST (BAS)Representative BNI Life yang akan ditempatkan di cabang Bank BNI bertugas melakukan pemasaran produk Bancassurance (Individu). Penempatan : Outlet BANK BNI Wilayah Jakarta Senayan untuk area Senayan , Melawai Raya , Pasar Mayestik , Megakuningan , Jakarta Pusat Kualifikasi :Untuk SMA/Sederajat usia 20 - 35 tahun. Harus berpengalaman marketing industri jasa keuangan 2 TahunUntuk S1/D3 semua jurusan usia 22 - 35 (Fresh graduates are welcome to apply).Berpenampilan menarik & rapih.Memiliki kemampuan komunikasi, presentasi dan negoisai yang baik.Memiliki minat dibidang SALES.Tidak tercatat aktif AAJI.dikhususkan bagi kandidat yang berdomisili di Jakarta pusat,Jakarta Selatan dan Jakarta TimurDeskripsi Pekerjaan :Membuat perencanaan penjualan Asuransi Jiwa di dalam cabang outlet BANK BNI.Melakukan aktifitas penjualan Asuransi Jiwa di dalam cabang outlet BANK BNI.Membangun hubungan baik dengan pihak internal (Bank BNI) dan eksternal (Nasabah).Manfaat yang diperoleh :Tunjangan dasar setiap bulan.KOMISI BULANAN TIDAK TERBATAS.Tunjangan transportasi setiap bulan.Kesempatan karir terbuka luas.Kesempatan mendapat perjalanan ke luar negri.Bonus quartal dan tahunan.Training berkelanjutan dan bersertifikat dari BNI Life Insurace.",https://www.jobstreet.co.id/id/job/74410398?type=standard&ref=search-standalone
Staff Admin Cabang Kenjeran,PT.Grand Pasific Pratama,Gading,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,15 jam yang lalu,Full time,"Melakukan input dan olah data merupakan tanggung jawab basic dari seorang admin,  untuk posisi admin yang sedang kami buka ini nantinya akan fokus pada admin penjualan, admin gudang, serta admin piutang.
Persyaratan minimum:
Tersedia jam fleksibel
Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 30 March 2024
Gaji yang diinginkan: Rp1,500,000 - Rp3,000,000 per bulan",https://www.jobstreet.co.id/id/job/74400215?type=standard&ref=search-standalone
Crew Part Time (Area Kota Serang),PT Eka Bogainti,Serang,,Hospitaliti & Pariwisata,Pelayan,,532024-03-13,Kontrak,"Memberikan pelayanan yang sopan dan ramah pada pelangganBertanggung jawab terhadap kebersihan restoran, area kerja dan peralatan memasakMemberikan service oriented yang optimal pada pelangganMenjalankan SOP restoran dengan konsisten  KualifikasiUsia maksimal 25 tahunPendidikan SMA/K/SederajatMemiliki komunikasi yang baikBerpenampilan rapi, ramah, sopan & energikBersedia untuk bekerja dengan sistem shiftSudah di vaksin dan memiliki sertifikat vaksinPenempatan store HokBen area Kota Serang",https://www.jobstreet.co.id/id/job/74410618?type=standard&ref=search-standalone
Staff Finance,PT. GRAHA MUKTI HUSADA (KLINIK UTAMA MATA JEC-JAVA),Pasuruan,"Rp3,363,838 – Rp3,513,838 per month",Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-09,Full time,"Persyaratan:Usia maksimal 30 tahunPendidikan minimal D3 Keuangan / Akuntansi / Manajamen / perbankanFresh graduate atau Diutamakan memiliki pengalaman minimal 1 tahun sebagai Teller/Kasir/FinanceBerpenampilan dan kepribadian menarikTeliti, jujur dan bertanggung jawabBersedia ditempatkan di PasuruanDeskripsi pekerjaan:Menerima pembayaran pasien dengan tunai, non tunaiMembuat Laporan Penerimaan tunai dan non tunai berupa serah terima kasir, cash transactionnya dan dokumen pendukungMembuat voucher pembayaran tunai dan non tunai (cek/giro) kroscek dokumen pendukung dengan tepat waktu dan akurat dan meminta validasi dokumenInput buku mutasi bank berjalan atas transaksi perbankan dan persiapan Cek/ Giro yang telah disiapkan untuk pembayaran suplierMenyiapkan dan membayarkan tagihan terhutang secara tunai dan non tunai (cek/giro) yang telah divalidasiMembuat Laporan Pembayaran tunai dan non tunai berupa bukti tanda terima pembayaran maupun bukti setor bank, membuat cash transaction kas dan bank serta dokumen pendukung.Transaksi Perbankan, setoran uang tunai, setoran pembayaran suplier tunai dan non tunai Cek/ Giro, Mengetahui Mutasi Bank RS",https://www.jobstreet.co.id/id/job/74322537?type=standout&ref=search-standalone
Accounting & Finance,PT. KALIMAS SARANA SUPLINDO,Jakarta Pusat,"Rp5,000,000 – Rp5,100,000 per month",Akuntansi,Akuntansi & Pelaporan Finansial,,22 jam yang lalu,Full time,"Mampu mengoperasikan program komputer akuntansi termasuk menginput seluruh daftar transaksi keuanganMemahami dan mampu membuat laporan keuangan dan laporan pajakMenguasi Microsoft ExcelMembuat Laporan PengeluaranMenginput Jurnal Transaksi Kualifikasi:Memiliki logic yang baik, teliti, inisiatif & inovatifDisiplin, komitment & memiliki etika kerja yang tinggiD3 / S1 jurusan Akuntansi / Komputer AkuntansiTerbuka bagi lulusan baru (freshgraduate) DISCLAIMER:""Hati-hati terhadap penipuan. PT Kalimas Sarana Suplindo TIDAK PERNAH meminta sejumlah uang baik untuk pendaftaran, tiket, akomodasi, jaminan dan sebagainya dari calon pelamar. - Management -""",https://www.jobstreet.co.id/id/job/73750361?type=standard&ref=search-standalone
Staff Administrasi,Property99.Id Bogor,Cicendo,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-12,Full time,"Tanggung Jawab Pekerjaan:- Menyimpan catatan karyawan baik fisik maupun digital- Melakukan perawatan arsip data pelanggan maupun mitra eksternal- Mendistribusikan surat masuk dan keluar- Menjaga catatan arsip karyawan baik dalam bentuk fisik maupun digital- Mengatur, menyimpan dan mencetak dokumen perusahaan sesuai dengan kebutuhan- Menjawab dan mengalihkan panggilan telepon- Mengatur perjalanan bisnis- Mengupdate kebijakan kantorPersyaratan Pekerjaan :- Familiar dengan perlengkapan kantor seperti printer dan mesin fax- Memiliki pengetahuan mengenai kebijakan dan prosedur kantor- Berpengalaman dalam menggunakan MS Office- Memiliki keterampilan organisasi dan manajemen waktu yang baik- Memiliki kemampuan komunikasi yang baik dalam verbal dan tulisan
- SMA atau tingkat pendidikan yang lebih tinggi, dan memiliki kualifikasi sebagai staff administrasi, atau sekretaris adalah nilai plus
Persyaratan minimum:
Tersedia jam fleksibel
Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 15 April 2024
Gaji yang diinginkan: Rp3,000,000 per bulan",https://www.jobstreet.co.id/id/job/74399757?type=standard&ref=search-standalone
Kitchen Crew,PT Boga Tuan Pratama (Ichisan),Jakarta Barat,Rp2.700.000 – Rp4.000.000 per month,Hospitaliti & Pariwisata,Asisten & Staf Dapur,,23 jam yang lalu,Full time,"Kualifikasi (Kitchen Crew) :Memiliki Pengalaman minimal 1 Tahun di bagian DapurDapat Bekerja di Public Holiday/WeekendSiap langsung bekerja apabila diterima Deskripsi Pekerjaan (Kitchen Crew) :Mengikuti instruksi dari Kepala DapurMempersiapkan Bahan Baku sesuai SOPMengolah Bahan Baku sesuai SOPMemahami Basic jenis-jenis PotonganMelakukan Inventory HarianMenjaga Kebersihan Peralatan dan Area Bekerja Fasilitas :Monthly Salary/Gaji PokokCrew MealService Charge Location :Ichisan Ramen Taman RatuJalan Ratu Kemuning Blok DXI/20, Jakarta BaratIchisan Ramen Tanjung DurenTanjung Duren Raya No.135A, Jakarta BaratIchisan Ramen Gading SerpongJl. Ir. Sukarno No. 8, Cihuni, Pagedangan, Tangerang, BantenIchisan PuriKomplek delta blok y/ 1 rt5 rw3 kel. Kedoya selatan, kec. Kebon jeruk, Jakarta baratCentral Kitchen Ichisan RamenTanjung Duren, Jakarta Barat",https://www.jobstreet.co.id/id/job/74385601?type=standout&ref=search-standalone
Staff Industrial Engineering (IE),PT Mercindo Global Manufaktur,Kabupaten Semarang,,Teknik,Teknik Industri,"Jengjang karir, Budaya kerja kondusif, Lingkungan kerja nyaman",32024-03-13,Full time,"KualifikasiS1 Teknik IndustriBerpengalaman staff produksi/ Fresh graduateAnalisa & pemecahan masalah yang baikBisa bekerja secara tim & individuMemahami proses produksiMemahami konsep ergonomi dan perancangan tata letak pabrik.Menguasai MS.OfficeJujur, disiplin dan bertanggung jawab Job DescriptionMemastikan data hasil produksi terkumpul sesuai waktu yang ditentukanMemastikan data produksi diproses dengan baik demi efisiensi kerjaMemastikan proses produksi berjalan sesuai aturan perusahaanMemastikan jadwal kerja operator sesuai dengan kebutuhan perusahaanMemastikan laporan harian diberikan tepat waktu kepada atasannyaMengkoordinir dan mengawasi serta memberikan pengarahan kerja kepada setiap operatorMampu membuat standar waktu baku proses produksi (smv)Berorientasi pada pencapaian target produktivitas dan effisiensiMampu membuat/ mendesign alat bantu produksi",https://www.jobstreet.co.id/id/job/74412794?type=standout&ref=search-standalone
STAFF IT,CV. Satria Iman Pemenang,Denpasar,Rp4.300.000 – Rp4.565.000 per month,Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,21 jam yang lalu,Full time,"Job Description1.  Menganalisa mengenai kerusakan perangkat komputer dan jaringan.2.  Menganalisa kerusakan sparepart yang dibutuhkan dalam perbaikan komputer dan jaringan.3.  Membuat laporan berkala history perbaikan komputer dan perangkatnya.4.  Melakukan pengawasan terhadap penggunaan komputer dan jaringan agar sesuai dengan ketentuan perusahaan.5.  Mampu membuat maping dan instalasi jaringan computer dan cctv.6.  Membuat analisa mengenai kerusakan perangkat komputer dan jaringan.7.  Mampu menganalisa kerusakan sparepart yang dibutuhkan dalam perbaikan komputer dan jaringan.8.  Membuat laporan berkala history perbaikan komputer dan perangkatnya.9.  Melakukan pengawasan terhadap penggunaan komputer dan jaringan agar sesuai dengan ketentuan perusahaan.10.  Mampu membuat maping dan instalasi jaringan computer dan cctv.Persyaratan Umum1. Usia 20 – 30 tahun2. Minimal SMK TKJ atau D3/S1 Sistem Informasi, Manajemen Informatika, dan Teknik Informatika.3. Memahami dan terampil dalam hal instalasi komputer (merakit komputer) & troubleshoot baik hardware maupun software4. Selalu up to date dengan perkembangan IT5. Memiliki kemampuan time management & komunikasi yang baik6. Bersedia ditempatkan di area denpasarPersyaratan KhususPendidikan:Minimal D3Jurusan:D-3 Teknik Informatika, D-3 Sistem Informasi, D-4 Teknik Komputer dan Jaringan, D-3 Teknik Komputer dan JaringanIPK Minimal:2,9Memiliki pengalaman 1 tahun sebagai IT Support.Berpengalaman dalam konfigurasi mikotrik dan implementasi cctv lebih disukai.Bersedia ditempatkan di Area Denpasar",https://www.jobstreet.co.id/id/job/74389810?type=standard&ref=search-standalone
Finance & Accounting Staff,Qublock,Jakarta Utara,,Akuntansi,Akuntansi & Pelaporan Finansial,,18 jam yang lalu,Full time,"About Qublock (추가 및 변경 예정)Qublock is a leader in special valve industries. Through our deep special valve expertise and legacy of severe valve operation, Qublock helps customers in critical industries like Petrochemical and chemical and Marine, Power industries and process automated valves operate more sustainably while improving productivity, energy security and reliability.With international operations and a comprehensive portfolio of valves technology, we are helping companies implement reliable valve performance to measurably improve their operations, conserve valuable resources and enhance their safety.We offer equitable opportunities, celebrate diversity, and embrace challenges with confidence that, together, we can make an impact across a broad spectrum of countries and industries. Job Descriptions :Perform day to day accounting & finance role including executing any kind of accounting, finance operation, and tax.Managing labor-related tasks including reporting on employee joining and leaving the company, handling Workcover, and reporting taxes for employee wagesHandling general administration workProvide Income Statement, balance sheets, journalsPost journals in accordance with the chart of accountVerify the completeness of the documents required for financial transactionsPerforming reconciliation of financial data preciselyReview and Manage cashflowEnsuring accounting reports are completed on timeReconcile bank statements Requirements :Candidates must prossess at least Associate's / Bachelor's Degree education is preferred from the Accounting department.At least 2 years of relevant working experience in similar fieldAge maximum 30Able to operate accounting softwareAdvanced MS office skillsHonest, detail oriented, good analytical skill and can work under pressure with tight deadlinesUnderstand about taxFluent in EnglishPlacement : North Jakarta ( Pantai Indah Kapuk ) Benefit :Ramadan allowance (yearly)Bonus (yaerly)Medical reimbursement (yearly)Social Security Administrator for Employment (BPJS Ketenagakerjaan)",https://www.jobstreet.co.id/id/job/74392880?type=standard&ref=search-standalone
STAFF HELPDESK & IMPLEMENTATION SUPPORT,PT Satria Antaran Prima Tbk.,Jakarta Timur,,Teknologi Informasi & Komunikasi,Meja Bantuan & Dukungan IT,,18 jam yang lalu,Full time,"Kualifikasi : Pendidikan Min. S1 Teknik Informatika, Sistem InformasiPengalaman Min. 1 tahun dalam bidang IT Tugas dan Tanggungjawab :Mengerjakan permintaan tiket perubahan dataMapping coverage areaTraining/Implementasi sistem terhadap internal perusahaan atau pelanggan",https://www.jobstreet.co.id/id/job/74393061?type=standard&ref=search-standalone
Account Receivable Staff,ASRI (a subsidiary of Agung Sedayu Group),Jakarta Utara,,Akuntansi,Lainnya,,19 jam yang lalu,Full time,"Kualifikasi:Minimal Pendidikan S1 AccountingMemiliki pengalaman di industri Mall / Hotel / Apartemen lebih disukaiMemiliki pengalaman menggunakan aplikasi Microsoft Dynamics GP menjadi poin plusBersedia ditempatkan di Pantai Indah Kapuk - Jakarta UtaraDeskripsi pekerjaan:Menerbitkan invoice sewa, service charge, promo levy, utility tiap bulannya + postingMemeriksa rekening koran daily untuk dilakukan penerimaan pada module ARRekonsiliasi module AR & bank AR to GLMemeriksa penerimaan edcMenghitung sisa rental apabila ada tenant yang mau early terminationMenghitung ulang top apabila ada perbedaan luasan unitMenerbitkan invoice minimum revenue sharing (manual)Mengerti jurnal dasar invoice, jurnal penerimaan bank,Paham alur kerja sistem finance & accounting",https://www.jobstreet.co.id/id/job/74392218?type=standard&ref=search-standalone
Export Import Bulking Document Staff,Karunia Prima Nastari (KPN CORP.),Jakarta Selatan,,"Manufaktur, Transportasi & Logistik",Impor/Ekspor & Pabean,,19 jam yang lalu,Full time,"Job Qualifications:S1 semua jurusanMemiliki pengalaman min. 1 tahun dalam bidang Manufacturing Kelapa Sawit/Shipping Agent/Freight ForwardingMampu bekerja di bawah tekanan, teliti, dan disiplinDiutamakan mampu berbahasa MandarinBersedia ditempatkan di Head Office, Jakarta Selatan Job Descriptions:Mempersiapkan dokumen ekspor seperti COO, BL, Invoice, Packing List, PEB, NPEKoordinasi dengan agent kapal untuk jadwal kedatangan kapal dan penerbitan PKKAKoordinasi pembayaran biling BK dan Levy dengan Finance saat kapal selesaiMengirimkan dokumen ekspor yang sudah terbit ke Buyer dengan tepat waktuFiling dokumen ekspor",https://www.jobstreet.co.id/id/job/74391665?type=standard&ref=search-standalone
Social Media Specialist,PT. SEGAR JERUK ABADI,Jakarta Selatan,"Rp5,000,000 – Rp6,000,000 per month",Pemasaran & Komunikasi,Pemasaran Digital & Pencarian,,20 jam yang lalu,Full time,"We are seeking a motivated Social Media Specialist to effectively engage with targeted virtual communities and network users. Our objective is to achieve exceptional customer engagement, foster brand exposure, and increase revenue through strategic utilization of the social media marketing roadmap. Your expertise in social media marketing will be essential in achieving our goals and establishing strong brand connections. Job DescriptionBuild and execute social media strategy through competitive research, platform determination, benchmarking, messaging and audience identificationGenerate, edit, publish and share daily content (original text, images, or videos) that builds meaningful connections and encourages community members to take actionSet up and optimize company pages within each platform to increase the visibility of company’s social contentContinuously improve by capturing and analyzing the appropriate social data, insights and best practices, and then acting on the information Requirements and skillsProven working experience in social media marketing or as a Digital Media SpecialistExcellent consulting, writing, editing (photo/video/text), presentation and communication skillsKnowledge of online marketing and good understanding of major marketing channelsPositive attitude, detail and customer oriented with good multitasking and organisational abilityExperienced in F&B industry",https://www.jobstreet.co.id/id/job/74382255?type=standard&ref=search-standalone
IT Support Staff,PT Griya Miesejati (Bakmi GM),Jakarta Barat,,Teknologi Informasi & Komunikasi,Teknik – Perangkat Keras,,1 jam yang lalu,Full time,"Tugas dan Tanggung Jawab:Merencanakan, melaksanakan, dan memonitor semua kegiatan yang berhubungan dengan support atau layanan hardware dan network di dalam perusahaan.Kualifikasi:Usia maksimal 30 tahunPendidikan S1 Sistem Informatika atau Teknik Informatika dengan IPK minimal 2.75 (skala 4)Memiliki pengalaman minimal 1 - 2 tahunMengerti Linux Fundamental dan OS WindowsMengenal basic troubleshooting serverFamilier CMS, Blog SiteMengerti penggunaan aplikasi yang berhubungan dengan internetMampu bekerja dengan deadlineDapat bekerja optimal baik secara individu maupun dalam timBersedia bekerja secara Mobile ke beberapa tempat dan mempunyai Sim CPenempatan di Jakarta Barat",https://www.jobstreet.co.id/id/job/74408783?type=standard&ref=search-standalone
Account Receivable,PT Jasa Cendekia Indonesia,Jakarta Selatan,Rp5.067.381 – Rp6.700.000 per month,Akuntansi,Piutang Usaha/Pengendalian Kredit,,21 jam yang lalu,Kontrak,"Requirements   :Graduate from Accounting, with IPK min.3.00.Working experience min 1 year in finance.Good communication skill and has a strong sense of responsibility.Having ability to operate Ms Excel spreadsheet and Word documents.Having experience with SAP/SWT system will be a good point.Job Description :1.   Responsible to process wholesales of unit, including prepare and issue the invoice of booking fee and down payment SWT system, coordinate with sales team to ensure the wholesale running smoothly, etc.2.   Monitor the credit limit of dealers that joined dealer financing program, including prepare the template file to be uploaded to the bank system (both vehicles and spare parts), coordinate with bank’s personnel related to dealer financing, etc.3.   Maintain the corporate credit card of DCVI’s employees, including communicate with bank’s personnel.4.   Validate payment made to vendors.5.   Prepare the format of output VAT invoice (both vehicles and spare parts), including rename and distribute the output VAT invoices (in pdf file) to the respective dealer/customer.",https://www.jobstreet.co.id/id/job/74389376?type=standout&ref=search-standalone
Engineering Specialist Officer,"PT Kirana Megatara, Tbk (Triputra Group)",Jakarta Selatan,,Teknik,Teknik Elektro/Elektronik,,20 jam yang lalu,Full time,"Bertanggung jawab untuk melakukan identifikasi  kebutuhan spare part manufaktur mesin produksi, dan alat berat (loader & forklift)Melakukan pengecekan permintaan material / spare part yang dibutuhkan oleh userMelakukan review penawaran & Bill of Materials yang dkirimkan oleh vendorMelakukan review Bill of Quality dari setiap rencana perbaikan (service/repair) alat berat (loader & forklift)Mengkoordinir dan memonitor pengiriman material agar kedatangannya sesuai dengan permintaan kebutuhan Kualifikasi:Pendidikan minimal S1 Jurusan Teknik Mesin, Teknik Elektro, Teknik Sipil.Memiliki pengetahuan tentang detail service (perbaikan), spare part manufaktur mesin produksi, dan alat berat (loader & forklift)Memiliki kemampuan Komunikasi, Analytical Thinking, Negosiation skill dan Leadership yang baikMampu melakukan technical analisis baik secara lisan atau tulisan dengan baikBerkelakuan baik, Jujur, pekerja keras, tanggung jawab, inisiatif, Sehat Fisik & MentalMemiliki pengalaman bekerja di perusahaan alat berat menjadi nilai tambahMenguasai Microsoft Office (Ms Word, Ms Excel, Ms PowerPoint)Bersedia melakukan perjalanan dinas jika dibutuhkan",https://www.jobstreet.co.id/id/job/74390130?type=standard&ref=search-standalone
Management Trainee (Purchasing),PT Prima Hidup Lestari,Jakarta Selatan,,Ritel & Produk Konsumen,Manajemen – Toko,"Dynamics Environment, Synergy & Passionate Team, Honest,Fun,Careness,Profesional,Openess",18 jam yang lalu,Kontrak,"Tugas dan Tanggung Jawab:Memastikan ketersediaan barang Raw Material, Packaging, ATK, dll.Melakukan negosiasi harga, terms of payment, delivery time, garansi, dan lainnya.Monitoring kedatangan barang dan penyelesaian jasa.Menginput, mencetak dan filing POKordinasi dengan departemen lainBerkomunikasi dan menjaga hubungan baik dengan supplierKualifikasi:Min.S1 Jurusan Akutansi, Manajemen Bisnis, Ekonomi Teknik Industri, KomunikasiUsia Max. 25 thnFresh graduate dipersilakan melamarTahu fungsi-fungsi purchasing secara mendasarKeahlian yang mumpuni dalam networking dan negosiasiRapih, Gesit dan CekatanKemampuan komunikasi yang baik, tanggung jawab, proaktif, memiliki kemampuan beradaptasi yang kuatUsia maksimal 35 tahunDapat bekerja dibawah tekananPENEMPATAN: Gandaria-Jaksel",https://www.jobstreet.co.id/id/job/74394622?type=standout&ref=search-standalone
KEPALA KASIR,PT. Mustika Citra Rasa,Jakarta Raya,"Rp5,000,000 – Rp7,000,000 per month",Ritel & Produk Konsumen,Manajemen – Departemen/Asisten,,23 jam yang lalu,Full time,"KualifikasiDiutamakan memiliki pengalaman di bidang yang sama 1 tahun.Minimal lulusan D3 Akuntansi/Manajemen/Manajemen Keuangan, dengan IPK minimal 3,00 pada skala 4,00.Berpenampilan menarik dan memiliki komunikasi yang baik.Menguasai metode transaksi umum, online, transfer, EDC, dll.Mampu mengoperasikan sistem kasir komputerisasi.Mampu dan pernah memimpin tim kasir.Teliti dan cekatan dalam perhitungan.Penempatan di Holland Bakery Cikupa Tangerang & Kranji BekasiTugas dan Tanggung Jawab:Memeriksa rekap kas kecil dan kas jalan dari kasir kemudian membuat laporan kas kecil dan jalan.Menghitung sisa uang kas jalan dan kas kecil yang sudah digunakan hari sebelumnya.Menyiapkan kegiatan: Menerima dan menghitung pengiriman uang dari pihak ketiga (bank) yang sudah ditunjuk, untuk keperluan operasional, sesuai dengan yang telah ditentukan; Menyetor uang sisa kas kecil, kas jalan, dan setoran penjualan ke pihak ketiga (bank) yang sudah ditunjuk; dan Menyiapkan dokumen-dokumen yang diperlukan seperti client count yang disimpan dalam format PDF, Rincian Pecahan Uang (RPU), slip setoran, dan cek untuk delivery (pengiriman) uang operasional di hari selanjutnya.Memeriksa keaslian uang yang diterima maupun yang akan disetorkan.Mengatur jadwal kasir, menyiapkan jadwal pengganti kasir  yang tidak masuk, dan mem-back up kasir yang tidak masuk kerja.Dalam melaksanakan pekerjaannya Kepala Kasir bertindak sebagai pengawas terhadap bawahannya dalam menjalankan pekerjaan selama bertugas.Mengerjakan tugas dan tanggung jawab baik yang tertulis maupun yang tidak tertulis sesuai dengan instruksi atasannya.",https://www.jobstreet.co.id/id/job/74385784?type=standout&ref=search-standalone
Akunting,Natural Herbal Kosmetindo PT,Deli Serdang,Rp2.700.000 – Rp4.000.000 per month,Akuntansi,Akuntansi & Pelaporan Finansial,,19 jam yang lalu,Full time,"Tugas dan Tanggung Jawab :Mengolah data ACCURATEMembuat invoice di ACCURATE;Membuat FAKTUR PAJAK;Membuat data laporan yang dibutuhkan team;Input dan matching uang masuk;Melakukan follow up tagihan customer yang sudah jatuh tempo agar pembayaran tepat waktu;Mencatat tanggal penerimaan invoice customer di sistem;Membuat faktur penjualan;Report Piutang Harian, Incoming; KualifikasiUsia maksimal 35 tahunMemiliki sifat teliti & inisiatifMemahami dan mampu mengoperasikan program ACCURATEMemahami PERPAJAKANMemiliki pengalaman kerja minimal 1 tahunMemiliki analisa berpikir yang baik, terbuka dan komunikasi yang baikMampu bekerja dibawah tekananMampu bekerja secara individu ataupun team work;",https://www.jobstreet.co.id/id/job/74392157?type=standard&ref=search-standalone
Secretary,Retail Orang Tua Group,Jakarta Barat,,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,2024-03-12,Full time,"Description:1. Managing the MD's and board members calendar, arranging meetings, appointments, and other relevant events2. Attending and organizing meetings - pursues action points that arise3. Organize the office layout and order stationery and equipment4. Receive and screen phone calls and direct them when appropriate5. Booking tickets, connecting with different embassies in necessary documents needs6. Handle sensitive and confidential information with utmost discretion and professionalism Requirements:1. Bachelor degree in business administration or relevant field preferably2. Not less than 1 year of experience as a Personal Assistant or Executive Secretary.3. Excellent computer skills4. Presentable5. Excellent Communication and interpersonal Skills",https://www.jobstreet.co.id/id/job/74383048?type=standard&ref=search-standalone
Administrasi,Cv Sari Asem,Gunung Anyar,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-12,Full time,"Deskripsi Pekerjaan : 
-Melakukan pemrosesan dan pengelolaan administrasi kantor 
-Melakukan penginputan data
-Mengumpulkan data seputar karyawan perusahaan 
-Menyusun laporan dan rekap data perusahaan
-Menyiapkan surat dan dokumen-dokumen sesuai keperluan kantor
Kualifikasi :
- Minimal SMA/SMK SEDERAJAT/S1
- Mampu mengoperasikan Microsoft Excel dan Microsoft Word
- Teliti dan tanggungjawab
- Siap dan minat untuk bekerja keras
Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi
Selasa: Pagi
Rabu: Pagi
Kamis: Pagi
Jum'at: Pagi


Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Gaji yang diinginkan: Rp3,000,000 per bulan",https://www.jobstreet.co.id/id/job/74399671?type=standard&ref=search-standalone
Supervisor Customer Service,PT. TRI ENERGI BERKARYA,Jakarta Barat,,Call Center & Layanan Konsumen,Pemimpin Tim/Supervisor,,592024-03-13,Kontrak,"PT Tri Energi Berkarya is HIRING PT Tri Energi Berkarya adalah perusahaan penyedia peralatan pengisian daya kendaraan listrik (EV) terdepan di Indonesia. Kami berkomitmen untuk memberikan layanan pelanggan yang luar biasa dan solusi inovatif. Tim kami yang bersemangat berdedikasi untuk memberikan dampak positif dan membangun masa depan yang cerah di sektor kendaraan listrik Qualifications:Minimum berpengalaman sebagai supervisor khususnya supervisor customer service selama 2-3 tahunBerlatar belakang teknik elektro lebih disukaiMemiliki rekam jejak yang baik dalam memimpin dan memotivasi tim untuk mencapai target pelayananMemiliki kemampuan berkomunikasi, pemecahan masalah dan interpersonal yang baikMampu menganalisa dan menggunakan Microsoft Excel untuk melakukan monitoring dan pelaporanMampu bekerja sendiri dan bekerjasama dengan tim  Responsibilities:Melatih dan mengembangkan kemampuan para staf, sekaligus menciptakan lingkungan kerja yang positifMengawasi operasional layanan pelanggan sehari-hari, serta memastikan penyelesaian pertanyaan dan keluhan dilakukan secara efisien.Menyelenggarakan penilaian kinerja dan memberikan masukan perbaikan yang bermanfaat kepada perwakilan staffMelaporkan keluhan pelanggan yang sulit diatasi kepada atasan Melakukan pelaporan berdasarkan identifikasi masalah yang sudah dilakukanMengelola tim secara efektif",https://www.jobstreet.co.id/id/job/74410421?type=standard&ref=search-standalone
