Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID,Job Sub Category
admin,PT Gemah Dinamika Perkasa,Pekanbaru,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,Full time,"Usia maksimal 25 tahunDomisili PekanbaruMenguasai Ms Excel dan Ms WordMampu mengoperasikan Ms. OfficeMenguasai AkuntansiPendidikan SMA/SMK/D3Memiliki keinginan untuk terus belajar dan mengembangkan diriMemiliki integritas yang tinggiBertanggung jawab , Disiplin dalam bekerja",https://www.jobstreet.co.id/id/job/73921600?type=standard&ref=search-standalone,73921600,Other
erp saff,PT Universal Luggage Indonesia,Tangerang,Rp4.600.000 – Rp6.800.000 per month,Teknologi Informasi & Komunikasi,Analis Bisnis/Sistem,,2024-03-16,Full time,"Main Job Description:Analyzing existing infrastructure and performing IT system enhancements.Writing customized programs and scripts, as well as configuring ERP applications.Developing user-friendly functionalities and interfaces.To work closely with the team to ensure that the system delivery meets the business requirements, specifications in a timely and with quality.Develop plans and strategies for ERP implementation based on organizational requirements.Coordinate and manage implementation efforts in conjunction with project teams.Enforce system policies, procedures, and standardsQualifications:Bachelor's Degree in System/Science/Information Technology/ accounting/business and from a reputable university.At least 2 Year(s) of working experience in the related field is required for this position.Understand ERP system (Tip Top)Strong proficiency in Microsoft Word, Excel, Power Point and Email.Fluency in English both oral and written (Mandarin advantages)Have good communication skillExcellent personality with good attitude and integrityCan work individual and as a teamA hard worker, detail-oriented, and obtain a good interpersonal skill is required.The ability to analyses data, identify trends, and develop effective solutions to workplace issues is highly valued.",https://www.jobstreet.co.id/id/job/73903676?type=standard&ref=search-standalone,73903676,Other
oracle database administrator,PT. Berca Hardayaperkasa,Jakarta Raya,,Teknologi Informasi & Komunikasi,Pengembangan & Administrasi Database,,2024-03-16,Full time,"Qualifications Bachelor Degree majoring Information Technology, Computer Science etcOracle Database Administration and Database Administration skillsHave experience in related field 2-3 yearsExperience in replication and troubleshootingDatabase Security skillsExcellent written and verbal communication skillsProblem-solving and critical thinking skillsExperience working in a fast-paced and dynamic environmentAdditional experience in project management, database backup and recovery, and high availability solutions is a plus.",https://www.jobstreet.co.id/id/job/73822926?type=standard&ref=search-standalone,73822926,DATA
photographer & editor,TB MALL,Cengkareng,"Rp4,000,000 – Rp6,000,000 per month","Periklanan, Seni & Media",Fotografi,,2024-03-09,Kontrak,"KualifikasiMemiliki pengalaman kerja di bidang photo editor min.2thn dengan hasil hasil karya yang menarik di video kontenDeskripsi PekerjaanMelakukan perekaman dan pengeditan videoMelakukan proses eksplorasi dan pemberian ide videoMembuat brief cerita pendek dan pengarahan kepada anggota tim Alamat kami: taman palem lestari, cengkareng, cengkareng barat, jakarta baratKami bergerak di bidang e-commerce dengan pengalaman selama 5 tahun. Kami berharap Anda bisa bergabung dengan kami!",https://www.jobstreet.co.id/id/job/74167460?type=standout&ref=search-standalone,74167460,Other
insurance administrator,PT GOS Indoraya,Malang,"Rp3,300,000 – Rp3,320,000 per month",Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,Full time,LakiPendidikan min D3/S1Usia max 25Memiliki kemampuan komunikasi yang baikDiutamakan memiliki pengalaman di bagian administrasiBersedia mobile ke cabang yang jaraknya 50-60km  Benefit :Gaji pokokBPJSTunjangan makan dan transportasi,https://www.jobstreet.co.id/id/job/73919579?type=standout&ref=search-standalone,73919579,Other
operator it rsud regional la mappapenning bone,PT Jasamedika Saranatama,Sulawesi Selatan,,Teknologi Informasi & Komunikasi,Meja Bantuan & Dukungan IT,,2024-03-16,Full time,"Kualifikasi:Khusus untuk kandidat yang berdomisili di Provinsi Sulawesi SelatanMinimal Pendidikan D3 Perekam medis/ D3 Keperawatan/ D3 Teknik Informatika/ D3 Komputer/ D3 Telekomunikasi.Menguasai MS. Office (Word, Excel, Visio, etc).Mampu bekerja teliti.Bekerja keras dan bersikap ramah.Komunikasi baik.bersedia ditempatkan di Bone Sulawesi SelatanDiutamakan berdomisili di sekitaran BONE SULAWESI SELATAN  Deskripsi pekerjaan:Bertanggung jawab dalam pengelolaan data (Data Entry).Memastikan user melakukan data entry setiap hari.Memberikan pelatihan kepada user.Pemeliharaan hardware dan Troubleshooting.Menerima dan seleksi permintaan customize dari user untuk diteruskan ke programmer.",https://www.jobstreet.co.id/id/job/73877835?type=standard&ref=search-standalone,73877835,Other
raw material analyst,"PT Darya Varia Laboratoria, Tbk",Bogor,,Kesehatan & Medis,Farmasi,,2024-03-16,Full time,"Job Description :Analysis Raw Materials for RMQ (3 batches).Analysis Raw Materials Trial.Analysis Products Trial.Analysis Stability sample.Job Qualification :Candidate must possess at least a Vocational High school / Diploma Chemistry Minimum 1 year of experienced in chemical laboratoriumFresh graduated are welcome to applyAttention to details, accurate, precision, well-organized and have good initiativeGood at team work & communication skillHave knowledge of chemical testingHave good skill in math calculation used in calculation of testing result",https://www.jobstreet.co.id/id/job/73880306?type=standout&ref=search-standalone,73880306,DATA
exim staff (mandarin speaker),PT Virtue Dragon Nickel Industry,Jakarta Pusat,,Administrasi & Dukungan Perkantoran,Administrasi Kontrak,,2024-03-17,Full time,"Qualifications & experienceExperienced in logistics, especially in managing documents and goods to Customs and ExciseTasks & responsibilitiesInput master data, PO, GRPO, A/P Invoice and also PIB payment submission to SAP Import.Import document filingProvide equipment reconciliation (import)Make Inventory mutation report (import)Provide LKPM report to the legal departmentInput payment request to SAP",https://www.jobstreet.co.id/id/job/74241871?type=standout&ref=search-standalone,74241871,Other
operations administration staff,PT Pratama Bintang Jaya,Kalimantan Barat,"Rp2,400,000 – Rp3,200,000 per month",Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,Full time,"Job Description :Mengerti HACCP dan mengurus surat administrasi Karantina.Maintenance Rumah Wallet, terutama memastikan sarana dan prasarana sudah sesuai SOP.Memastikan Panen, pengemasan dan transportasi ke tempat pemrosesan berjalan baik sesuai SOP.Memastikan Rumah Walet sudah sesuai SOP agar bisa di audit oleh tim Karantina.Memahami teknis Document Control dan membuat laporan produksi.Mengawasi indikator kinerja dan menemukan cara untuk meningkatkannya.Pastikan semua orang mengikuti peraturan keselamatan dan kebijakan Perusahaan.Pastikan proses kami berjalan dengan baik dan temukan cara untuk menjadikannya lebih baik.Membangun hubungan baik dengan klien / Auditor dan tim lainnya Qualification :Diutamakan Pendidikan Minimal D3 Manajemen / Administrasi / Teknologi Pangan.Berusia 20 – 30 tahunJujur, teliti, dan memiliki kemampuan komunikasi yang baik.Memiliki kendaraan dan (SIM C / SIM A)Bersedia bekerja mobile, bisa ke Pontianak dan Singkawang.",https://www.jobstreet.co.id/id/job/73903898?type=standard&ref=search-standalone,73903898,Other
regional contribution alignment sect. head,PT Mandiri Utama Finance,Jakarta Selatan,,Perbankan & Layanan Finansial,Analisis & Pelaporan,,2024-03-16,Full time,"Deskripsi Pekerjaan:Memastikan tata kelola tim Departemen RCA (East/West) sudah maksimaluntuk PrudenMemastikan penyelenggaraan tata kelola Area & Cabang sudah berjalandan sesuai untukPruden (East/West)Memastikan validitas data yang disajikan untuk Direksi maupun Area & Cabang(East/West)Memastikan pelaksanaan seluruh kegiatanMid-Year berjalan dengan efektifdan efisien sesuairencanaMemastikan pelaksanaan seluruh kegiatanKick Off berjalan denganefektif dan efisiensesuai rencanaMemastikan pelaksanaan seluruh kegiatanBC Meeting (East/West) berjalan dengan efektifdan efisien sesuai rencanaMemastikan pelaksanaan seluruh kegiatan Meeting Koordinasi Monthly(East/West) berjalan denganefektif dan efisien sesuai rencanaMemastikan penindaklanjutan risalah Meeting (East/West) terlaksanaMenyediakan data & informasiuntuk keberlangsungan pencapaian Index Healthy Score (East/West)Menyediakan data & informasi guna mendukung berjalannya monitoring dan kontrol performa dari Target Operasional Area & Cabang (East/West) Menjadi bagian dari Area untuk mendukung penyediaan data & informasi dalam memecahkan issue atau inisatif/program untuk pemecahan masalahArea & Cabang (East/West)Sebagai pendukung dari pelaksana untuk menjalankan keputusan/arahan Manajemen pada tingkat Area (East/West) Kualifikasi:Pendidikan minimal S1 (Matematika, Statistik, TI, Programmer)Memiliki pengalaman kerja minimal 1 tahun di bidang Analyst Data StatisticMemahami proses bisnis Perusahaan Pembiayaan mulai dari hulu ke hilirMemiliki communication skill, relationship building, analytical thinking, attention to detail, presentation skill yang baikMemiliki kemampuan Ms. Excel dan SQL",https://www.jobstreet.co.id/id/job/73943202?type=standard&ref=search-standalone,73943202,Other
marketing analyst manager,PT Penguin Indonesia,Jakarta Utara,,Penjualan,Pengembangan Bisnis Baru,,2024-03-16,Kontrak,"Job Description : Sales / Distribution analysisSales trend analysisSales promotion analysisCompetitor Analysis Requirement : Maximum 40 years oldBachelor from Statistic / Business / Industrial EngineeringMinimum 5 years experienced in related fieldGood in EnglishSmart, detail, analytical, integrity personAdvanced skill in Microsoft Excel",https://www.jobstreet.co.id/id/job/73850195?type=standard&ref=search-standalone,73850195,DATA
core system officer,PT Mitsui Leasing Capital Indonesia,Jakarta Raya,,Teknologi Informasi & Komunikasi,Teknik – Perangkat Lunak,,2024-03-16,Full time,"Job Description :Collaborate with stakeholders to gather and document core system     requirements.Proactively monitor system performance, identify and resolve issues with the co-operation of the IT team.Prioritise change requests, minimising operational disruption.Continuously learn about new technologies and industry best practices for core system improvements.Create clear and precise system documentation.Analyse business needs, design, develop and test software solutions.Maintain existing core systems, including handling software bugs and issues.Perform installation, configuration, and maintenance of core systems, implement security measures, and monitor and troubleshoot systems.Engage in system upgrades and migrations, and adhere to coding standards and best practices.Communicate and collaborate with cross-functional teams to bridge the gap between business and IT.Requirments :Candidate must possess at least Bachelor’s Degree of Information TechnologyHave at least 1 years experience as ProgrammerTechnical Competence: Programming language: PHP, C#, Visual BasicCan use FrameworkMs. Windows Environment Reporting: Crystal Report, SSRS (SQL Server Reporting Service), Microsoft SQL Database, IIS Web ServerGeneral Competences:  Analytical and Logical Thinking, Communication Skill, Problem Solving bridges the gap between business and IT.",https://www.jobstreet.co.id/id/job/73934373?type=standard&ref=search-standalone,73934373,Other
multifinance development analyst - leasing (b-103569),RGF HR Agent Indonesia,Jakarta Selatan,"Rp7,500,000 – Rp9,000,000 per month",Penjualan,Pengembangan Bisnis Baru,,2024-03-16,Full time,"About The Company:The working venue is in South Jakarta.Our client is a Japanese Leasing company. Currently, they are looking for Multifinance Development Analyst.Job Responsibilities:Streamline and enhance business processes to boost efficiency and effectiveness.Develop and refine company policies and standard operating procedures (SOPs).Drive initiatives to create a conducive environment for achieving company targets.Coordinate the procurement and maintenance of work equipment.Implement strategies to optimize resource utilization and reduce downtime.Other related tasks as assigned.Job Requirements:Hold Bachelor's degree.Current position as Senior Staff/Head in Marketing/Sales multi finance department.Showing excellent personal quality in analysis and judgement, teamwork, and good time management.Willing to be placed in all over in Indonesia.[Only CV in English will be processed]",https://www.jobstreet.co.id/id/job/73870106?type=standard&ref=search-standalone,73870106,DATA
admin staff (cab. denpasar),PT. JAYA BERSAMA  SAPUTRA PERKASA,Denpasar,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,Kontrak,"PT Jaya Bersama Saputra Perkasa (FORTRESS™) merupakan Perusahaan yang bergerak dalam bidang retail Building Material dengan produk unggulannya yaitu Pintu Baja FORTRESS™ yang telah mendapatkan Top Brand pada tahun 2021, 2022, & 2023. Jika Anda memiliki etos kerja diatas, FORTRESS™ menunggu Anda untuk bergabung bersama perusahaan.Job Description:Melakukan konfirmasi Sales Order berdasarkan hasil pemeriksaan parameter data penjualan yang telah lengkap dan benar;Berkoordinasi dengan End User, Toko, Distributor, Modern Trade dalam aktifitas pemeriksaan dokumen pesanan dan pengiriman barang;Membuat Surat Jalan berdasarkan Sales Order yang telah lengkap dan benar;Membuat Invoice berdasarkan Surat Jalan yang telah lengkap dan benar;Input biaya yang sudah di Approve pada sistem informasi ke COA;Monitoring dan pengendalian AR serta Membuat laporan Petty Cash & Saldo Akhir;Berkoordinasi dengan Driver dan Teknisi dalam aktifitas pengiriman dan pemasangan produk;Bertanggung jawab atas pencatatan dan kelengkapan seluruh dokumen meliputi; Quotation (Performa Invoice), Sales Order, Surat Jalan, Invoice, Kwitansi, dan dokumen lainnya;Membuat laporan Order, Data Stok, dan aktifitas Promosi secara periodik di wilayah kerjanya;Membangun kultur kerja PERKASA (Positive, Enthusiast, Reliable, Kaizen, Advance, Solid, Achievement) di wilayah kerjanya;Kualifikasi:Pendidikan min. S1 (diutamakan Akuntansi, MIPA, Teknik, Manajemen);Pengalaman bekerja di Industri Retail/FMCG/Building Material/Sejenisnya;Pengalaman min. 2 tahun sebagai Akuntansi/Admin/Entry Data;Pengalaman handle Sistem Informasi & Manual Sistem (Excel);Mampu membuat laporan & analisa data (sales, stok, biaya operasional);Terbiasa berkoordinasi dengan Sales, Mitra Toko, End User, Ekspedisi;Mampu melakukan Rekonsiliasi Data (sales, stok, biaya operasiona);Terbiasa menggunakan tools Ms. Excel;Penempatan Cab. Denpasar.Benefit:Kepesertaan Program Jaminan Sosial (BPJS Kesehatan & Ketenagakerjaan);Hak Cuti dan Tunjangan Hari Raya diberikan secara normatif;Fasilitas lain (inventaris) yaitu: Laptop, smartphone, simcard, seragam kerja;Suasana kerja yang kondusif dan familiar;Kesempatan meningkatkan karir atau potensi diri.",https://www.jobstreet.co.id/id/job/73941353?type=standard&ref=search-standalone,73941353,DATA
frontend developer (angular),PT Ako Media Asia,Jakarta Barat,"IDR 8,000,000 - 12,000,000",Teknologi Informasi & Komunikasi,Developer/Programmer,"Annual Bonus, Hybrid Working, Career Path",2024-03-17,Full time,"JOB DESCRIPTION :Developing front end website architecture.Designing user interactions on web pages.Knowledge in data manipulation and extraction using MySQL and No-SQLStrong knowledge in software engineering best practice and architecture patterns such as SOLID etc.Good to have experience in Mobile UI developmentSlicing mockup designCollaborate with back-end developers and web designers to improve usabilityOptimize website performanceStay up-to-date on emerging technologiesGrowing and innovating continuously with usRequirements :At least 3 years experience as Frontend Developer using React JS and AngularAbility to produce high quality codeHaving knowledge using GitflowProven work experience as a Front-end developerIn-depth understanding of the entire web development process (design, development and deployment)An ability to perform well in a fast-paced environmentExperience with JavaScript, CSS, SASS, jQueryExperience in connection frontend with REST API and/or GRAPH API and Knowledge in designing scalableWilling to work with Hybrid system (WFO & WFH)",https://www.jobstreet.co.id/id/job/74312107?type=standout&ref=search-standalone,74312107,DATA
it business analyst (sales & distribution),Erajaya Group,Jakarta Barat,,Teknologi Informasi & Komunikasi,Analis Bisnis/Sistem,,2024-03-15,Full time,"Job Description:Responsible for supporting and delivering the ERP solution for users.Analyze and understand systems processes and business requirements, and translate them to system design.Configure/customize the application to facilitate designated processes and transaction flow, including interface programs.Create and execute design specifications, documentation, testing, and implementation in accordance with the project development methodology, change management, and release processes.Support and advise users in the implementation of new systems, processes, and enhancement.Develop, maintain and deliver training and documentation to users.Monitor and evaluate new software releases /patches and make the appropriate recommendations.Job Qualification:Bachelor's degree in one of the following fields: Computer Science, Information Systems, Industrial Engineering, and related degree.Preferable candidates that have some experience in the business processes in retail, logistics, and distribution.Required skill(s): ERP Business Process (Procurement, Sales, Inventory Distribution, Finance AR/AP, POS).At least 5 years (s) of working experience in the related field is required for this position.Strong analytical skills, self-motivated, team oriented, and willing to work hard to get the job done within the deadline.Willing to work 100% from office at Bandengan Selatan, Jakarta Barat",https://www.jobstreet.co.id/id/job/73782363?type=standard&ref=search-standalone,73782363,DATA
support handler,Verdyne Technology,Jakarta Raya,,Teknologi Informasi & Komunikasi,Meja Bantuan & Dukungan IT,"VMWare proficiency, Team player, Humble and eager to learn",2024-03-17,Full time,"Job Description:Providing support for the US main company's Operations TeamMaintain and enhance data integrityResolve any data quality issues and identify aspects for improvementCollaborate with the Indonesian co-workers and the US Team to assist in monitor, identify, analyze and resolve any issues arises.Ready to be on-call during after hoursProviding reports on daily basisKeep improving and learning on the present and new materials/subjects at handAssisting with any of the future Indonesia's ProjectRequirements :Minimum degree/diploma in Information TechnologyProficient in English language - both spoken and writtenExperience with international level projects with good data qualityExperience in VMWare, Hyper-V, ticketing, computer, database and networking systemsAble to accept and implement Company's working cultureTeam player and great problem solverAbility to solve and comprehend complex problemsWilling to work abroadHumility and teachable",https://www.jobstreet.co.id/id/job/74166764?type=standout&ref=search-standalone,74166764,Other
"bancassurance consultant (semarang, solo, yogyakarta)",MSIG Life Insurance Indonesia Tbk,Semarang,"Rp3,600,000 – Rp5,400,000 per month",Perbankan & Layanan Finansial,Layanan Klien,,2024-03-16,Full time,"Deskripsi Pekerjaan :Menjalin dan menjaga hubungan bisnis yang baik dengan nasabah bank rekanan dalam memberikan konsultasi perencanaan perlindungan serta tujuan finansial nasabahMenciptakan hubungan yang produktif, bersinergi, dan efektif dengan seluruh pihak bank rekanan terkait.Memastikan seluruh proses bisnis berjalan sesuai dengan prosedur standar perusahaan.Memenuhi performa kerja yang sudah ditargetkan perusahaan Kualifikasi:Usia minimal 23 tahunPendidikan minimal Diploma 3Memiliki pengalaman minimal 1 tahun sebagai sales marketing dalam industri asuransi atau perbankanMemiliki kepribadian yang baikMemiliki motivasi kerja yang tinggiMemiliki orientasi pada target dan berambisi untuk memenuhi targetPenempatan: Semarang/Solo/ Yogykarta",https://www.jobstreet.co.id/id/job/73872763?type=standard&ref=search-standalone,73872763,Other
it erp oic,Columbia Asia Indonesia,Kelapa Gading,,Teknologi Informasi & Komunikasi,Manajemen Program & Proyek,,2024-03-16,Full time,"Deskripsi Pekerjaan :Memahami System Integration (API, Rest API, Data Stream, Cloud Integration).Lebih diutamakan memahami .Net (Microsoft Environment).Mempunyai pengetahuan & pengalaman dalam pengembangan aplikasi atau aplikasi cloud & Database RDBMS (SQL Server, mySQL,dll).Bekerja sama dengan tim untuk memastikan pengiriman sistem memenuhi persyaratan bisnis, spesifikasi, tepat waktu dan berkualitas.Analisa & konsultasi proses bisnis untuk kebutuhan ERP.Menulis program dan skrip yang disesuaikan, serta mengkonfigurasi aplikasi ERP.Melakukan tes diagnostik dan menyelesaikan masalah untuk mengoptimalkan kinerja. Kriteria :Minimal lulusan S1 Teknik Informatika.2 Tahun di Bidang System Integration (App or Web App) 1 Tahun dibidang ERP (Oracle ERP seperti SAP, Oddoo, dll) akan menjadi nilai tambah.Memiliki sertifikasi Oracle Integration lebih diutamakan. Mampu menulis & berbahasa Inggris.Penempatan di Management Office - Kelapa Gading",https://www.jobstreet.co.id/id/job/73907758?type=standard&ref=search-standalone,73907758,Other
business process improvement,PT Aneka Bintang Gading,Tangerang,,Penjualan,Pengembangan Bisnis Baru,,2024-03-16,Kontrak,"Job descriptionAs an Organization & Business Process Improvement, you will be key in analyzing, optimizing, and implementing efficient organizational processes.Responsibilities:- Conduct thorough analyses of existing business processes and SOP to identify inefficiencies and areas for improvement.- Collaborate with stakeholders to understand process requirements and objectives.- Design and document optimized processes using industry best practices and efficiency standards.- Work with cross-functional teams to ensure seamless implementation of process changes.- Develop and maintain key performance indicators (KPIs) for process improvement initiatives. Job Specification:- Bachelor’s degree in Business, Operations Management, or a related field. - Proven experience in business process improvement, with a track record of successful implementations.- Strong understanding of process optimization methodologies and tools.- Familiarity with industry best practices and emerging trends in business process improvement.- Proficient in English- Proficiency in Excel and Ms. Visio or related tools.",https://www.jobstreet.co.id/id/job/73826789?type=standout&ref=search-standalone,73826789,Other
parts analyst,PT SINOPACIFIC PERALATAN INDONUSA,Jakarta Utara,"Rp5,000,000 – Rp7,500,000 per month","Manufaktur, Transportasi & Logistik",Analisis & Pelaporan,,2024-03-16,Full time,"Job DescriptionAnalysis of the need for heavy equipment spare partsMaintain a balanced inventory & monitor inventory levelsMaking Purchase Orders (Stock & Emergency)Making monthly reportsAble to operate computer & inventory software accurateLogistics managementReceive and input the supply part to the computerPhysically checks parts in and outPhysically checks parts returns and stock transfers RequirementSkill typing speed minimum 40/wpmFamiliar with Accurate Software and MicrosoftAble to speak English. Mandarin is a plusHave experience with heavy equipment industry, eg. excavator, wheel loader, vibro roller, motor grader, dozer, dump truck, etc.Attention to detail and responsibleGood communication skillCould work in team or alone",https://www.jobstreet.co.id/id/job/73871535?type=standard&ref=search-standalone,73871535,DATA
performance marketing lead,PT. Prima Bersama Berkat,Jakarta Raya,"Rp15,000,000 – Rp20,000,000 per month",Pemasaran & Komunikasi,Manajemen Brand,,2024-03-11,Full time,"What will you do:Creating, monitoring and executing a strong eCommerce performance marketing strategy planTrain, manage and oversees team of performance marketing specialist and graphic designers.Accumulate database of KOL for livestream and affiliateEnsuring graphic designer's outputs are aligned with company's objectives.Manage on-site and out-site platform ads.Plan, report, and evaluate the ads.Competitor product analysis/trackingResponsible for Traffic, CTR, CR & ROI of the adsRun and daily monitoring the adsIdentifying and testing new channelsEnsure campaigns deliver against the target.What will you need:Must have at least 4 years of experience as Project Manager, Campaign Planner, Product Marketing, or other relevant rolesExperience in on-site marketing (Shopee Ads, Lazada ads, Tiktok Ads)Experience in digital marketing or digital adsExperience in SEO, Facebook Ads Manager, certified in Google Analytics is a plus.Good communication and interpersonal skills, strong logical thinking and analytical skillsDetail-oriented and goal-orientedAble to work under pressure and meet a tight deadlineExcellent written and verbal communication skills; fluent in EnglishKey Skills360 CampaignsBanner AdsGoogle AnalyticsE-commerce SEOFacebook Ads ManagerAnalysis ReportsAgile Project Management",https://www.jobstreet.co.id/id/job/74356097?type=standout&ref=search-standalone,74356097,Other
hr analyst,KALBE NUTRITIONALS,Jakarta Utara,,Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-16,Full time,"Responsibilities :Gather data from various HR systems and sources, including but not limited to employee records, performance evaluations, payroll, and recruitment metrics.Utilize statistical methods and tools to interpret data and draw meaningful insights.Develop and generate regular and ad-hoc reports to provide HR metrics and insights to stakeholders, such as senior management and department heads.Collaborate with HR team members to create actionable recommendations based on data analysis.Conduct research on HR trends, benchmarking data, and emerging technologies to support informed decision-making Requirements :Bachelor's degree in Human Resources, Business Administration, Statistics, or related field.Has experience in HR analytics, data analysis, or a related role.Proficiency in statistical analysis tools such as Excel, SPSS, or R, with the ability to learn new software as needed.Strong analytical and problem-solving skills, with attention to detail.Has communication skills, both written and verbal, with the ability to present complex information in a clear and understandable manner.",https://www.jobstreet.co.id/id/job/73832438?type=standard&ref=search-standalone,73832438,DATA
product analytics manager,OLX Indonesia,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Manajemen & Pengembangan Produk,"Training & Development, Healthcare Benefits & Annual Bonus, Career Path",2024-03-16,Full time,"Job Description:Lead & develop product analytics team to be an effective workforceManage trackers to ensure all the data is available for the Product TeamManage the dashboard used by the Product Team to improve user experience & business growthSupport analytics for the Product Team for the development of new featuresLiase with marketing, growth, & business team to build source of truth of reporting and dashboardPlan with business executives and stakeholdersRequirements:Bachelor's degree in Computer Science, Statistics, or other related fields.Proven experience (6 years) as a Business Intelligence Lead, Data Analytics Lead, or in a similar role.Strong understanding of data ETL, data visualization, and data analytics.Excellent analytical skills with the ability to interpret data and user feedback to drive insights and improvements.Exceptional communication and interpersonal skills to collaborate effectively with internal teams and build rapport with customers.Demonstrated leadership and team management skills, with a track record of motivating and guiding teams to achieve customer-focused goals.Customer-centric mindset with a passion for delivering outstanding service and exceeding customer expectations.Proven project management skills to plan, execute, and track customer experience initiatives.Strong problem-solving skills, with the ability to think creatively to overcome challenges and obstacles.",https://www.jobstreet.co.id/id/job/73887857?type=standout&ref=search-standalone,73887857,Other
micro credit analyst officer - kc makassar,"PT Bank Sinarmas, Tbk",Makassar,,Perbankan & Layanan Finansial,Kredit,,2024-03-16,Full time,"Requirements:Pendidikan Minimal D3 segala JurusanBerpengalaman selama 2 tahun di bidang credit sbg Credit Analyst Job Description :Melakukan pengecekan data identitas calon debitur, BI Checking, & DHN, pengecekan ke lingkungan sekirar / comunity checking, & trade checking terhadap calon debiturMemberikan penilaian anggunanMelakukan Input, upload data aplikasi kredit / credit memo dan mengirimkan ke step berikutnya melalui system & BWMK yang telah ditentukan.Membuat offering letter, mempersiapkan proses penandatanganan pengikatan kredit, membuat memorandum pencairan.Menjaga kondisi portfolio unit / cabang agar baik dengan melakukan analisa pemberian kredit / pembiayaan dengan prinsip kehati-hatianMemberikan informasi kebijakan kredit ke cabang saat menerima pengajuan proposal yangtidak sesuai",https://www.jobstreet.co.id/id/job/73844080?type=standard&ref=search-standalone,73844080,DATA
mall admin officer - kendari,PT Lippo Malls Indonesia,Kendari,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,Full time,"Deskripsi pekerjaan:Mengatur dokumen agar rapih, lengkap dan mudah diambilMendistribusikan korespondensi sesuai dengan waktu yang tepatMenyiapkan internal memo yang berkaitan dengan operasional dan membuat surat keluarMenetapkan nomor memo dan surat keluarMembantu staff operasional untuk mendapatkan persetujuan dari atasan terkaitMengumpulkan data-data dan laporan kegiatan staff operasional seperti membuat laporan utilitas gedung (listrik,air,telepon)Persyaratan:S1 semua jurusan22-30 tahun, energik, sehat mental dan fisikMenguasai komputer terutama ms.officeMahir dalam berbahasa Inggris lisan dan tulisanMemiliki kemampuan komunikasi, akurasi dan koordinasiMemiliki pengalaman sebagai admin minimal 1 tahun",https://www.jobstreet.co.id/id/job/73879732?type=standard&ref=search-standalone,73879732,Other
sales admin,PT Higienis Indonesia,Jakarta Pusat,Rp6.500.000 – Rp8.000.000 per month,Penjualan,Koordinator Penjualan,,2024-03-15,Kontrak,"Requirements:Candidate must possess at least Bachelor's Degree in any fieldHaving experience in handling administration and Sales AdminFamiliar with CRM & WMS system is mandatoryHaving advance skill in Ms. Excel is mandatory (vlookup, hlookup, pivot table)Hard worker, honest and able to work independently as well as in team.Able to work quickly  Job descriptions:Verifying new customer data, Checking customer data & Updating customer dataCollecting, controlling and managing all data After sales.Supporting After sales team.Make sales report activity (daily, weekly, monthly).Create a service report, All administration related to technicians (reimbursement of operational costs, overtime reports, kilometers & standard grooming)Responsible for generating product serial numbers",https://www.jobstreet.co.id/id/job/74475066?type=standout&ref=search-standalone,74475066,Other
digital marketing specialist,PT Tumbuh Bareng Careskin,Tangerang,Rp7.000.000 – Rp9.000.000 per month,Pemasaran & Komunikasi,Pemasaran Digital & Pencarian,"Incentive and Bonuses, THR, Career Opportunities",2024-03-17,Full time,"Job DescriptionIdentify the revenue growth engine and propose monetization strategies.Define, create, and manage marketing acquisition and strategy efforts across awareness, consideration, and conversion using multiple channels with goals that resonate with our target audiences and are consistent with the brands.Creating, launching, and optimizing Google (GDN and search ads), YouTube, Facebook/Instagram, and TikTok ads campaigns and increase customer retentionForecast marketing campaign growth and ROI for marketing campaigns.⁠Conduct competitors' intelligence and market research to find opportunities and improvements.Plan, budget, execute, optimize, and analyze all marketing activities across digital marketing channels (KOL, ads, social media, search engine, etc) and e-commerce to maximize reach, engagement, and ROI.⁠Give insights and recommendations about product improvement to related divisions in the organization. Analyze campaign effectiveness through a data-driven approach to optimize future strategies and achieve marketing objectives.Qualifications•⁠  ⁠Min. bachelor's degree in Marketing or any related field•⁠  ⁠Min. 3-5 years in the digital marketing field with a proven track record esp in Meta ads•⁠  ⁠Having skills & knowledge about beauty clinics and treatments will be advantageous •⁠  ⁠Excellent knowledge and experience in online marketing tools, e-commerce, Website building, social media ads (esp. Meta and Tiktok), google and its best practices•⁠  ⁠Proficient understanding of SEO, SEM, Social Media, Performance Marketing, Programmatic, and customer optimization•⁠  ⁠Excellent communication and presentation skills•⁠  ⁠Experience in HTML and CSS will be a plus•⁠  ⁠Critical thinker, self-driven, a keen learner with a positive attitudeMust submit a portfolio or case studies showcasing successful Facebook ad campaigns and their impact on marketing goals.",https://www.jobstreet.co.id/id/job/74293507?type=standout&ref=search-standalone,74293507,PHP
