Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,og_period_salary,Compensation,og_salary_currency,Job ID,Job Category,Scraped Date
document controller,Pt Indo Nan Pao Resins Chemical,Tangerang,not_written,Administrasi Dukungan Perkantoran,Manajemen Catatan Kontrol Dokumen,Not Written,1 hari yang lalu,Full time,Document Controller Job Descriptions Set Up Copy Scan And Store Organization Documents Create Templatesmanage Requests For Documentationfile Documents In Physical And Digital Records And Ensure Appropriate Storagereview And Maintain The Accuracy Of The Records Editing Where Necessary To Ensure They Are Up To Dateto Liaise With And Distribute Related Information With All Levels Of The Organizations And Potentially External Partiesmanage The Processes Around Documentation Within The Organizationmaintain Confidentiality Around Sensitive Documentationprepare Ad Hoc Reports On Projects When Required Qualifications Minimum D Diploma Maximum Age Yearpreferably Of Having Years Of Experience In The Same Field Fresh Graduates Are Welcomed Having Experience In Handling Iso Documents And Audit Excellent Interpersonal Analytical Thinking Skill Detail Oriented Able To Work Under Pressure And Good Teamwork Attitude Ability To Communicate In English Both Oral And Writtengood Command In Ms Office Excel Word Power Point Etc Willing To Be Placed In Tangerang Area Optional Able To Communicate In Mandarin Or Hokkian Language Would Be An Advantage Have A K Umum Certificate Will Be An Advantageprefer Can Start Work In Short Notice,https://www.jobstreet.co.id/id/job/74379851?type=standout&ref=search-standalone,not_written,not_written,not_written,74379851,Other,2024-03-13
trainer staff,Pt Social Bella Indonesia,Jakarta Barat,not_written,Sumber Daya Manusia Perekrutan,Pelatihan Pengembangan,Not Written,19 jam yang lalu,Full time,Job Description Collaborate With Operations To Identify Training Need Analysis Develop Training Materials Delivering Training And Responding To Questions Plan And Schedule Training Class Evaluate And Report Training Results Qualification A Years Of Work Experience Min Years Experience As A Trainer Or In Store Experienceb Background Industry Retail And Beauty Area Preferablec Any Additional Qualification Good Communication Skill Powerpoint Excel Willing To Travel,https://www.jobstreet.co.id/id/job/74392838?type=standout&ref=search-standalone,not_written,not_written,not_written,74392838,IT,2024-03-13
staff finance accounting,Pt Mastrada Surya,Surabaya,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,17 jam yang lalu,Full time,Job Title Staff Finance Accountinglocation Surabaya Denpasarreports To Finance Manager As Staff Finance Accounting You Will Be Responsible For Overseeing The Day To Day Operations Of Their Department Ensuring That All Employees Are Performing Their Jobs In An Efficient And Effective Manner As Well As Making Sure That The Company S Financial Goals Are Being Met Staff Finance Accounting Job Responsibilities And Dutiesensure That All Financial Transactions Are Properly Recorded Filed And Reported In A Timely Mannerreview Journal Entries And Account Balances For Accuracy And Compliance With Generally Accepted Accounting Principles Gaap Prepare Monthly Quarterly And Annual Financial Statements In Accordance With Gaapassist With The Development And Implementation Of Internal Controls To Safeguard Assets And Ensure Accurate Financial Reportingcoordinate And Prepare Materials For Audits By External Auditorsmanage And Train Accounting Staff On Proper Accounting Procedures And Techniquesoversee Accounts Payable And Accounts Receivable Departmentsreconcile Bank Statements And Resolve Any Discrepancies In A Timely Manneridentify Opportunities For Process Improvement And Implement Solutions In A Cost Effective Mannermonitor Changes In The Business Environment And Adapt Accounting Practices Accordingly Requirements And Skills Minimum Of Years Experience In Business To Business Minimum Associate Degree D In Accounting Bachelor Degree S Preferable Outstanding Written And Verbal Communication Skills Good Presentation Skills Strong Analytical And Problem Solving Skills Able To Help Manage Data And Ensure That It Is Accurate And Secure Ability To Handle Multiple Priorities And Work Driven And Motivated Willingness And Ability To Travel Result Oriented Ability To Work As A Team Proficient In Microsoft Office And Sap With Aptitude To Learn New Software And Systems Experience Working In A Public Accounting Firm More Preferable Experience With Financial Analysis And Forecasting More Preferable If This Sounds Like A Good Fit For You Please Submit Your Resume And Cover Letter We Look Forward To Hearing From You,https://www.jobstreet.co.id/id/job/74395994?type=standout&ref=search-standalone,not_written,not_written,not_written,74395994,FINANCE,2024-03-13
accounting officer,Ciputra Group,Tangerang Selatan,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,20 jam yang lalu,Full time,Membuat Jurnal Pengeluaran Dan Pemasukan Mmebuat Laporan Keuangan Bs Pl Cf Membuat Perhitungan Penyusutan Menghitung Harga Pokok Penjualan Membuat Pengakuan Penjualan Filling Berkas Bukti Pemasukan Dan Pengeluaran Requirement S Manajemen Keuangan Berpengalaman Di Accounting Min Thn Memiliki Pengalaman Di Developer Lebih Disukai,https://www.jobstreet.co.id/id/job/74390723?type=standout&ref=search-standalone,not_written,not_written,not_written,74390723,FINANCE,2024-03-13
staff hrd,Pt Steel Pipe Industry Of Indonesia Tbk,Karawang,not_written,Sumber Daya Manusia Perekrutan,Konsultasi Hr Umum,Not Written,2 jam yang lalu,Kontrak,About Uspt Steel Pipe Industry Of Indonesia Tbk Spindo Is A Steel Pipe Manufacturer Which Has The Largest Production Capacity In Indonesia And Is Vastly Experienced In Producing A Wide Range Of Steel Pipes Tubes And Other Related Products All Of Our Products Have Succeeded In Achieving Both National And International Certification Standards The Product Quality Assurance Process Is Verified Against A Stringent Quality Evaluation Program Which Is Manifested In The Success In Obtaining International Certificates Of Iso And Api L As Part Of The Efforts To Meet The Internationally Recognized Standards Pt Spindo Tbk Continues To Live Up To A Number Of Quality Standards Established By Local And International Accreditation Bodies Including Astm Bs Jis Iso Api As Ul And Sni As Regards The Company S Customer Base It Includes Local Industries And Multinational Companies Operating In Indonesia For Example Total Chevron Honda Yamaha And J Steel Australasia Pty Ltd Qualifications Experience Maximum Age Years Oldmin Bachelor Degree Preferably Law Ohs And Engineeringmin Year Experiences In Hr Or Training Assesment Fieldunderstand Management Training Assesment Competencyunderstand Aprenticeship Internship Programunderstand Law Regulation Quality Health Safety Environment Management System Qhse Preferably From Having Certificate Of Chro Tasks Responsibilities Manage Employee Competency Assessment Training Cat Activitiescreate Update Competency Toolsprepare Update Talent Mapping High Potential Identification Processconduct Employee Training Based On Company Schedule Benefits Career Path Opportunity For Pkwtt Develop Your Human Capital Competencies Work In A Company That Has Strong Fundamentals Capital,https://www.jobstreet.co.id/id/job/74408036?type=standard&ref=search-standalone,not_written,not_written,not_written,74408036,HUMAN RESOURCES,2024-03-13
maintenance staff,Pt Sakata Inx Indonesia,Tangerang,8500000.0,Teknik,Pemeliharaan,Not Written,22 jam yang lalu,Full time,About Uspt Sakata Inx Indonesia Is A Printing Ink Company Which Is One Of Sakata Inx Corporation S Subsidiaries Located In Cikupa Tangerang Qualifications Experiences Degree In Electric Engineering Machine Engineering From Reputable Universityat Least Year S Of Working Experience In The Related Field Is Required For This Position With Age Maximum Years Oldfluent In English Oral Written And Computer Literate Ms Office Knowledge Of Total Productive Maintenance System K Also Prevention Of Fire And Explosionknowledge Of Iso Iso And Iso Tangerang Domicile Will Be More Consideredtasks Responsibilitiesmaintain And Controlling Of Electricity Machinery And Equipmentrepair Equipment And Machinery Coordinate With Subcontractor In Order To Process Maintenanceunderstand Industrial Systemresponsible To All Machinery Utility To Ensure Production Process,https://www.jobstreet.co.id/id/job/74386212?type=standout&ref=search-standalone,month,not_written,IDR,74386212,IT,2024-03-13
accounting,Pt Nonton Olahraga Dunia,Badung,3750000.0,Akuntansi,Akuntansi Pelaporan Finansial,Gaji Pokok Bpjs Mess,23 jam yang lalu,Full time,Perusahaan Kami Yang Bergerak Di Bidangparabola Cctv Internet Dan Pabxsudah Terpercaya Dan Berpengalamansejak Tahun Dengan Konsumen Hotel Hotel Besar Dan Ternama Di Bali Danyogyakarta Saat Ini Kami Membutuhkan Staff Accounting Dengan Kualifikasi Usia Maks Tahun Komunikatif Memiliki Ketelitian Dan Skill Komunikasi Mengerti Dasar Dasar Perpajakan Dapat Mengoperasikan Komputer Minimal Smu Stm Sederajat Bersedia Ditempatkan Di Bali Disediakan Mess,https://www.jobstreet.co.id/id/job/73827121?type=standout&ref=search-standalone,month,not_written,IDR,73827121,FINANCE,2024-03-13
kepala gudang surabaya,Pt Shukaku Indonesia,Surabaya,4500000.0,Manufaktur Transportasi Logistik,Pergudangan Penyimpanan Distribusi,Not Written,17 jam yang lalu,Full time,Membuat Suatu Planning Mengadakan Barang Dan Mengantarkan Barangmengawasi Dan Memeriksa Jalannya Gudangmenjadi Pemimpin Bagi Seluruh Staff Gudangmengawasi Dan Memeriksa Seluruh Barang Yang Masuk Dan Keluar Sesuai Dengan Standard Sopmelakukan Pemeriksaan Pada Barang Yang Diterima Sesuai Standard Sopmembuat Planning Pengawasan Dan Laporan Pergudanganmemastikan Ketersediaan Barang Sesuai Dengan Kebutuhan Konsumenmengawasi Pekerjaan Staff Gudang Lainnya Agar Sesuai Dengan Standar Kerjamemastikan Kegiatan Keluar Masuk Barang Berjalan Stabilmelaporkan Semua Transaksi Keluar Masuk Barang Dan Ke Gudang,https://www.jobstreet.co.id/id/job/74396314?type=standard&ref=search-standalone,month,not_written,IDR,74396314,OPERATIONS,2024-03-13
general affair staff yogyakarta,Pt Debito Korporindo Utama,Di Yogyakarta,not_written,Sumber Daya Manusia Perekrutan,Konsultasi Hr Umum,Not Written,22 jam yang lalu,Full time,We Are Seeking A Highly Organized And Proactive Individual To Join Our Team As A General Affairs Staff The General Affairs Staff Will Be Responsible For Overseeing Various Administrative And Facility Related Tasks Ensuring The Smooth Day To Day Operations Of The Company Responsibilities Manage General Administrative Duties Including Maintaining Records Handling Correspondence And Organizing Office Documentation Supervise The Office And Facilities To Ensure Cleanliness Orderliness And A Conducive Working Environment Liaise With External Parties Such As Vendors Government Agencies And Related Institutions For Procurement Licensing And Compliance Matters Handle The Company S Permits Licenses And Regulatory Compliance Requirements Oversee The Management Of Company Assets Controlling Good And Damaged Assets And Repair Problems If Any Look For References For All Office And Building Inventory Equipment Repairsoffice Building Maintenance Checklist Internet Ac Repairs Building Leaks Etc Coordinate Cleanliness Security And Environment With The Hr Ob And Operational Teams Organize And Manage Company Events Meetings Seminars And Workshops Qualifications Domiciled In The Yogyakarta Area Is Preferred Minimum Years Experience Proven Experience In Administrative Or General Affairs Roles Strong Organizational And Multitasking Skills Excellent Communication And Interpersonal Abilities Proficiency In Ms Office Suite Ability To Work Independently And Within A Team Understanding Of Regulatory Requirements And Compliance Procedures,https://www.jobstreet.co.id/id/job/74386727?type=standard&ref=search-standalone,not_written,not_written,not_written,74386727,IT,2024-03-13
account officer,Pt Bpr Rifi Maligi,Tangerang,5500000.0,Pemasaran Komunikasi,Komunikasi Pemasaran,Gaji Bonus Bpjs,1 jam yang lalu,Kontrak,Tanggung Jawab Pekerjaan Melakukan Survey Kelayakan Calon Nasabah Menganalisa Pengajuan Pinjaman Nasabah Melakukan Penginputan Data Hasil Survey Dan Analisa Calon Nasabah Melakukan Visit Nasabah Existing Untuk Ditawarkan Pinjaman Kembali Menawarkan Produk Perbankan Kepada Masyarakat Melakukan Kunjungan Kepada Nasabah Memonitoring Nasabah Kriteria Laki Laki Usia Maks Tahun Pendidikan Min D Pengalaman Min Tahun Di Posisi Yang Sama Lebih Diutamakan Memiliki Kendaraan Roda Dua Sim C Mampu Mengoprasikan Ms Office Memiliki Relasi Yang Luas Penampilan Menarik Mampu Berkomunikasi Dengan Baik Fasilitas Yang Di Dapat Gaji Bpjs Kesehatan Dan Pensiun Hari Tua,https://www.jobstreet.co.id/id/job/74409949?type=standout&ref=search-standalone,month,not_written,IDR,74409949,Other,2024-03-13
staf administrasi cs,Pt Pranaya Mitra Insani,Jakarta Selatan,4700000.0,Call Center Layanan Konsumen,Layanan Konsumen Berhadapan Dengan Konsumen,Not Written,17 jam yang lalu,Kontrak,Overviewsaat Ini Pion Clinician Sedang Mencari Good Talent Sebagai Seorang Staf Admin Cs Pion Clinician Adalah Biro Psikologis Yang Berlokasi Di Jakarta Saat Ini Telah Bekerjasama Dengan Berbagai Perusahaan Nasional Dan Multinasional Anda Akan Berhubungan Dengan Para Klien Yang Datang Dari B B Dan B C Kualifikasi Minimal D Berasal Dari Background Pendidikan Administrasi Manajemen Perkantoran Sekretaris Memiliki Pengalaman Minimal Tahun Sebagai Admin Mahir Menggunakan Internet Ms Office Google Workspace Teliti Dalam Menghitung Dan Melakukan Pengecekan Ulang Memiliki Keahlian Komunikasi Yang Baik Dalam Hal Lisan Maupun Tulisan Mampu Bekerja Secara Individual Dan Team Work Dapat Berbahasa Inggris Dengan Baik Lisan Dan Tulisan Diutamakan Yang Berdomisili Dekat Jakarta Selatan Bersedia Bekerja Pada Weekend Dapat Bekerja Secara Multitasking Job Deskbertanggung Jawab Pada Seluruh Proses Operasional Transaksi Kegiatan Klinik Menginput Informasi Laporan Dalam Systembertanggungjawab Atas Surat Menyurat Yang Berhubungan Dengan Klien Klinik Dan Korporasimelakukan Pengecekan Pencatatan Report Terhadap Inventori Klinikmelakukan Pengelolaan Database Klien Menjalin Hubungan Dengan Klien Individu Dan Korporasi Dalam Hal Administrasi,https://www.jobstreet.co.id/id/job/74396129?type=standard&ref=search-standalone,month,not_written,IDR,74396129,ADMINISTRATION,2024-03-13
quality control junior staff,Pt Jac Consulting Indonesia,Cibitung,not_written,Manufaktur Transportasi Logistik,Penjaminan Kontrol Mutu,Not Written,1 hari yang lalu,Kontrak,Greetings Our Client A Manufacturing Company Located In Cibitung Is Currently Looking For Candidates To Fill The Position Of Quality Control Junior Staff Please See The Details Below Qualifications Minimum Diploma Degree In Chemical Engineering Minimum Year In Related Fields Experience Using Laboratory Equipment Proficient In Operating Laboratory Testing Equipment Able To Work With Laboratory Information Management System Lims Familiarity With Kinematic Viscosity Equipment Density Testing Potentiometric Titrator Icp Equipment Karl Fischer Equipment Detail Oriented Good Analytical Thinking And Capable Of Working Effectively In A Team Responsibilities Conduct Chemical Analysis Tests On Lubricant Samples Conduct Calibration Troubleshooting And Routine Maintenance On Lab Equipment Maintain Laboratory Inventory And Consumables Calculate And Perform Dilution Of Standard Sample As Required For Testing Collaborate With Team Members To Ensure Accurate And Precise Reporting Of Test Results Adhere To Safety Protocols And Quality Standards In All Laboratory Activities,https://www.jobstreet.co.id/id/job/74381673?type=standout&ref=search-standalone,not_written,not_written,not_written,74381673,QUALITY CONTROL,2024-03-13
staff gudang,Pt Central Teknindo Abadiperkasa,Surabaya,not_written,Manufaktur Transportasi Logistik,Pergudangan Penyimpanan Distribusi,Not Written,12 jam yang lalu,Full time,Tanggung Jawab Menerima Barang Masuk Untuk Disimpan Di Gudangmencatat Keluar Dan Masuknya Barangcek Stok Ketersediaan Barang Di Gudang Mingguan Dan Bulanan Memastikan Sistem Pergudangan Distribusi Barang Dan Sarana Transportasi Berjalan Dengan Baikmembuat Rekap Stok Barang Setiap Harimembantu Pekerjaan Yang Menggunakan Fisik Produksi Jika Diperlukan Team Work Syarat Usia Maksimal Tahunpendidikan Minimal Sma Smu Smk Sederajatpengalaman Minimal Tahun Di Bidang Yang Samadiutamakan Sudah Berpengalaman Di Bagian Pergudanganmemiliki Fisik Yang Kuatjujur Rajin Disiplin Tanggung Jawabmemiliki Kepribadian Yang Baik Dan Berdedikasi Tinggi Terhadap Pekerjaanmemiliki Kendaraan Roda Dua Dan Sim A C Jika Memiliki Sim B Merupakan Nilai Lebih Mampu Mengoperasikan Komputer Minimal Microsoft Office Bersedia Mengikuti Perkembangan Teknologi Sesuai Yang Diharapkan Perusahaan Bersedia Belajar Dan Memiliki Kemauan Untuk Mempelajari Hal Baru Administrasi Dan Lapangan Bisa Bekerja Sama Dengan Team,https://www.jobstreet.co.id/id/job/74399106?type=standout&ref=search-standalone,not_written,not_written,not_written,74399106,OPERATIONS,2024-03-13
data engineer staff,Pt Os Selnajaya Indonesia,Jakarta Selatan,9000000.0,Teknologi Informasi Komunikasi,Teknik Perangkat Lunak,Data Modelling Etl Process Hadoop Spark Nosql Python Working Hybrid,21 jam yang lalu,Kontrak,Job Description Design Develop And Maintain A Robust And Efficient Data Architecture Develop And Implement An Optimized Database Schema And Ensure Data Integrity And Quality Build And Manage Data Pipelines To Efficiently Flow Data From Source To Destination Collaborate With Data Scientists Analysts And Development Teamsrequirements Bachelor Degree Minimum Gpa Data Modelling Etl Process Big Data Technologies Hadoop Spark Nosql Programming Language Python Data Governance Data Security Experience Junior Years Of Working Experience Working System Hybrid,https://www.jobstreet.co.id/id/job/74387598?type=standout&ref=search-standalone,month,not_written,IDR,74387598,ENGINEERING,2024-03-13
staf akunting,Pt Ekosistem Gunawati Natura,Jakarta Selatan,4500000.0,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,22 jam yang lalu,Kontrak,Tugas Pekerjaan Menyusun Arus Kas Kontrol Anggaranmenginput Data Jurnal Akuntansi Ke Dalam Sistemmembantu Analisa Pembelian Dan Proses Pemesanan Bahan Bakumemeriksa Melakukan Verifikasi Kelengkapan Dokumen Yang Berhubungan Dengan Transaksi Keuanganmengontrol Inventori Stok Opname Secara Berkala Kualifikasi S Akuntansi Wajib Minimal Pengalaman Kerja Tahun Diutamakan Pengalaman Di Akuntansi Restoran Maksimal Berusia Tahunmenguasai Ms Officemampu Berkomunikasi Dengan Baik Dan Mampu Bekerja Dalam Timteliti Jujur Bertanggung Jawabsehatdiutamakan Yang Berdomisili Di Kota Jakarta Selatan,https://www.jobstreet.co.id/id/job/74385975?type=standout&ref=search-standalone,month,not_written,IDR,74385975,FINANCE,2024-03-13
department head scm,Pt Nippon Indosari Corpindo Tbk,Makassar,not_written,Manufaktur Transportasi Logistik,Pemimpin Tim Supervisor,Not Written,3 jam yang lalu,Full time,Memonitoring Aktivitas Perencanaan Dan Operasional Scm Memberikan Training Dan Mereview Perencanaan Dan Pengembangan Yang Terkait Operasional Sdm Dan Standard Lainnya Memastikan Terlaksananya Pengelolaan Unit Kerjanya Dengan Mengikuti Kaidah Aturan Kebijakan Strategi Perusahaan Yang Sudah Ditetapkan Oleh Tim Scm Ho,https://www.jobstreet.co.id/id/job/74406374?type=standard&ref=search-standalone,not_written,not_written,not_written,74406374,Other,2024-03-13
warehouse leader,Pt Social Bella Indonesia,Cikupa,not_written,Manufaktur Transportasi Logistik,Pergudangan Penyimpanan Distribusi,Not Written,15 jam yang lalu,Full time,Kualifikasi Minimal Memiliki Pengalaman Tahun Sebagai Leader Warehouse Menangani Stock Barang Dan Proses Keluar Masuk Barang Di Gudangfamiliar Dengan Sistem Wmsmenguasai Microsoft Office Excel Word Powerpoint Familiar Dalam Menggunakan Email Berkelakuan Baik Jujur Dan Dapat Dipercayapekerja Keras Dan Semangat Tinggibersedia Bekerja Dengan Sistem Shifting Dan Ditempatkan Di Daerah Cikupa Tangerang Deskripsi Pekerjaan Melakukan Monitoring Proses Picking Membuat Laporan Harian Memastikan Proses Berjalan Sesuai Sop Yang Sudah Ditentukan Melakukan Pengaturan Pekerja Setiap Harinya,https://www.jobstreet.co.id/id/job/74397770?type=standout&ref=search-standalone,not_written,not_written,not_written,74397770,OPERATIONS,2024-03-13
procurement staff,Pt Sinarmas Lda Maritime,Rengat,5000000.0,Manufaktur Transportasi Logistik,Pembelian Pengadaan Inventaris,Not Written,20 jam yang lalu,Full time,Requirements Bachelor Degree Preferably Engineer Minimum Year Experience As A Procurement Fresh Graduated Are Welcome To Applyable To Work As A Team And Individualhave A Good Communicationproactive And Honestms Office Job Description Sources Reliable Suppliercoordinates With The User For The Specification Of The Item Offeredobtains Quotation For The Requested Purchased Itemdoes The Initial Negotiation For The Quotecreates Purchase Order Po For Purchaseobtains Approval Of The Pofollows Up The Delivery With The Supplier For The Purchased Itemfollows Up The Payment To The Suppliermonitors The Importation Documents And Procedure,https://www.jobstreet.co.id/id/job/74390765?type=standout&ref=search-standalone,month,not_written,IDR,74390765,Other,2024-03-13
kepala gudang,Pt Kurnia Berlian Jaya,Jakarta Barat,not_written,Manufaktur Transportasi Logistik,Pergudangan Penyimpanan Distribusi,Not Written,4 hari yang lalu,Full time,Kualifikasi Usia Tahunminimal D S Semua Jurusanpengalaman Minimal Tahun Sebagai Kepala Gudangmengerti Fifo First In First Out Tugas Bertanggung Jawab Terhadap Seluruh Kegiatan Operasional Gudangmelaksanakan Cek In Out Barangchecker In Out Barangcek Persiapan Pengirimancek Penyimpanan Stok Barangmembuat Laporan Aktivitas Barang Di Gudangmenjalin Koordinasi Dengan Divisi Lain,https://www.jobstreet.co.id/id/job/74327405?type=standout&ref=search-standalone,not_written,not_written,not_written,74327405,OPERATIONS,2024-03-13
sekretaris klinik,Pt Mydents Medina Indonesia,Tangerang,not_written,Administrasi Dukungan Perkantoran,Asisten Pribadi Asisten Eksekutif Sekretarial,Pkwt Pkwtt,23 jam yang lalu,Kontrak,Job Description Coordinationoperation And Controlmanagement Of Administration And Control Of Letter Managementwritten Understandingreading Compassioncontrol All Work Using The Company S G Drivemaintenance And Procurement Of Office Facilities And Suppliesinformation Preparationquick Reactionserving Orientationqualificationsgraduates Of D Administration Especially Hospital Administrationmaximum Age Years Oldneat Appearance Friendly Able To Operate Ms Officehave At Least Years Of Experience Working In The Field Of Secretaryhave A Work Spirit And Be Able To Work Individually Or Teammultitaskingcan Work Under Pressure Work Placement Bintaro Tangerang Selatan Send Your Latest Cv To Us Dengan Subject Mydents Secretary Application Best Regards Mydents Dental Care,https://www.jobstreet.co.id/id/job/74385400?type=standout&ref=search-standalone,not_written,not_written,not_written,74385400,Other,2024-03-13
section head ppic fg,Pt Nippon Indosari Corpindo Tbk,Makassar,not_written,Manufaktur Transportasi Logistik,Produksi Perencanaan Penjadwalan,Not Written,2 jam yang lalu,Full time,Monitoring Stock Material Dalam Keadaan Stabil Tidak Lebih Kurangberkoordinasi Dengan Purchasing Untuk Mencapai Otd Raw Material Berkoordinasi Dengan Tim Sales Terkait Forecast Accuracy Maintain Stok Gudang Bertanggung Jawab Atas Serah Terima Schedule Produksi Maksimal Jam Setiap Hari Bertanggung Jawab Atas Kelancaran Pekerjaan Di Rm Silo Bertanggung Jawab Terhadap Proses Serah Terima Bahan Baku Ke Scalling Produksi Optimalisasi Pemanfaatan Space Warehouse Kontrol Fifo Memanage Ppic Personnel Dengan Melakukan Proses Recruitment Training Brieffing Motivasi Memastikan Target Kpi Yang Telah Ditetapkan Dapat Tercapai Menjalankan Sop Ik Haccp Iso Dan Analisa Delivery Schedule Materialanalisa Data Otf Forecast Otf Pocmembuat Report Ppic Bulananbertanggung Jawab Terhadap Ketersediaan Raw Material Untuk Kebutuhan Produksi Sesuai Dengan Order Customer Otf Forecast Lead Time Buffer Inventory Level Bertanggung Jawab Terhadap Penerbitan Purchase Requisition Dan Memastikan Schedule Delivery Quantity Quality Order Dari Supplier Sesuai Dengan Permintaan Berkoordinasi Dengan Tim Akunting Untuk Melakukan Stock Opname Setiap Bulan Untuk Menjaga Variance Material Sesuai Target,https://www.jobstreet.co.id/id/job/74406722?type=standard&ref=search-standalone,not_written,not_written,not_written,74406722,Other,2024-03-13
accounting staff,Pt Panca Boga Paramita,Jakarta Barat,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,23 jam yang lalu,Kontrak,Responsibilities For Accounting Ap Positions But Are Not Limited To Creating Journal Entries Checking And Verifying Payment Requests With Supporting Documents And Matching With The Supplier Invoices Checking E Faktur Prepare Detailed Tax Related Documents For Tax Payment Reporting Checking Petty Cash Preparing And Submit Weekly And Monthly Reports Responsibilities For Accounting Ar Positions But Are Not Limited To Follow Up On Outstanding Receivables Reconciliation Bank Mop And Customer Order Checking Daily Omset And Data Sales Creating Billing For Customers We Re Looking For Someone Who Is Or Has Minimum Education Bachelor S Degree In Accounting Maximum Age Of Years At Least Years Of Working Experience In The Related Field Is Required For This Position Preferably In Retail F B Company Fresh Graduates Are Welcome To Apply Ability Of Microsoft Office Accounting Systems Understanding The Oracle System Is Preferred Good Understanding About F B Business Is A Must Highly Adaptable Able To Work Independently Or With A Team Willing To Be Placed At Head Office In West Jakarta,https://www.jobstreet.co.id/id/job/74384337?type=standout&ref=search-standalone,not_written,not_written,not_written,74384337,FINANCE,2024-03-13
engineering staff,Pt Raja Bearindo Aditama,Tangerang,not_written,Teknik,Teknik Mesin,Engineering Staff,23 jam yang lalu,Full time,Pt Raja Bearindo Aditama Rba Brand Merupakan Perusahaan Berkembang Yang Bergerak Di Bidang Komponen Custom Made Mekanikal Seperti Bushings Bearings Wear Plates Dan Komponen Mekanikal Lainnya Untuk Berbagai Industri Silahkan Kunjungi Website Kami Di Www Rajabearindo Co Id Untuk Informasi Lebih Lanjut Saat Ini Kami Sedang Membuka Lowongan Kerja Untuk Kandidat Yang Memiliki Passion Yang Tinggi Dalam Bekerja Di Bidang Teknik Permesinan Engineer Energetik Dan Menyukai Kerja Lapangan Kualifikasi Usia Maksimal Tahunsehat Dan Memiliki Catatan Medis Yang Baikpendidikan Minimal Smk Mesin Diploma Memiliki Pengalaman Kerja Minimal Tahun Di Bidang Engineering Teknikpengalaman Dalam Desain Reverse Engineering Bearingpengalaman Dalam Pemasangan Pelepasan Overhaul Bearingfamiliar Dengan Auto Cad D Max Autodesk Inventormahir Menggunakan Alat Ukur Kepresisian Caliper Micometer Bore Gauge Hardness Tester Dll Dapat Menggunakan Microsoft Office Word Excel Powerpoint Dan Outlookpunya Pengalaman Di Qc Mekanikal Part Lebih Diutamakan Bisa Mengendarai Mobil Dan Mempunyai Sim A Lebih Diutamakan Diutamakan Domisili Tangerang Dan Sekitarnyadeskripsi Pekerjaan Melakukan Qc Terhadap Incoming Part Melakukan Pengukuran Identifikasi Bearing Part Mekanikal Ke Lapanganmelakukan Supervisi Pemasangan Pelepasan Bushing Bearingengineering Admin Ad Hoc Dutieslokasi Kerja Tangerang,https://www.jobstreet.co.id/id/job/74385502?type=standout&ref=search-standalone,not_written,not_written,not_written,74385502,ENGINEERING,2024-03-13
it network infrastruktur staff,Pt Cipta Raya Data Makmur,Jakarta Raya,6000000.0,Teknologi Informasi Komunikasi,Administrasi Jaringan Sistem,Gaji Nett Bpjs Ketenagakerjaan Kesehatan Asuransi Swasta,20 jam yang lalu,Full time,Kualifikasi Usia Maksimal Tahun Pendidikan Minimal D S Telekomunikasi Informatika Ti Atau Ilmu Komputer Memiliki Pengetahuan Yang Baik Tentang Jaringan Ti Dan Fasilitas Memiliki Pemahaman Dalam Konfigurasi Ip Cisco Mikrotik Memiliki Pemahaman Dalam Kabel Fo Dan Splicing Memahami Pengetahuan Networking Memahami Pengetahuan Perangkat Komputer Bersedia Mobile Ke Site Site Cabang Jika Dibutuhkan Mampu Bekerja Dalam Tim Maupun Sendiri Sudah Divaksinasi Covid,https://www.jobstreet.co.id/id/job/74390465?type=standout&ref=search-standalone,month,not_written,IDR,74390465,NETWORK ADMINISTRATION,2024-03-13
