Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID
Web Developer,PT Jasa Medika Transmedic sebagai rekruter RSUD Kesesi,Kesesi,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-24,Full time,"Job
Description: Mengembangkan produk SIstem Informasi Manajemen Rumah Sakit
Requirements:Pend.
Min Diploma/Sarjana Jurusan Teknik Informatika / Ilmu Komputer / Teknologi
InformasiMenguasai
pembuatan aplikasi berbasis Web menggunakan PHP (Laravel), HTML & CSSMemiliki
pengalaman menggunakan Angular JSMenguasai
database PostgreSQL, MySQL, SQL ServerMengerti
Ajax, Jquery & mengetahui Bisnis Proses ERP menjadi nilai tambahMemiliki
daya analia, logika dan kerja yang baikDapat
berkomunikasi dengan baikMampu
bekerja secara individu atau dengan timBersedia untuk
penempatan di RSUD Kesesi PekalonganPersyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP",https://www.jobstreet.co.id/id/job/75380343?type=standard&ref=search-standalone,75380343
WEB DEVELOPER,Amerta Experience,Denpasar Barat,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-24,Full time,"Amerta Experience sedang mencari kandidat untuk mengisi posisi Web Developer, dengan deskripsi pekerjaan dan syarat wajib, sebagai berikut:Deskripsi Pekerjaan:•	Membuat atau mengembangkan aplikasi web / mobile•	Maintenance dan improvement aplikasi existing•	Membuat dokumentasi aplikasi•	Membuat manual aplikasi dan melakukan pengujian pada aplikasi yang telah dikembangkanPersyaratan Wajib:•	Pendidikan minimal S-1 / D-3 Teknik Informatika •	Pengalaman kerja minimal 1 tahun di bidang programming.•	Mampu berkomunikasi dengan baik dan berkolaborasi dengan anggota tim serta divisi lain.•	Memiliki motivasi dan keinginan untuk belajar yang tinggi•	Berwawasan luas dan teliti dalam membuat program•	Menguasai teknologi web, diutamakan memiliki portofolio aplikasi baik tugas kuliah maupun proyek lainnya.•	Menguasai Bahasa pemrograman PHP, mengetahui teknologi lain merupakan nilai tambah.•	Menguasai framework laravel / Codeigniter lebih disukai.•	Mampu mengelola Restfull API,  RDBMS seperti MySQL, PostgreSQL.•	Menguasai HTML dan CSS dasar.•	Mampu bekerja dalam tim, bekerja dengan deadline yang ketat, dan supervisi yang minimal.Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Pagi, SiangMinggu: Pagi, SiangDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP",https://www.jobstreet.co.id/id/job/75375299?type=standard&ref=search-standalone,75375299
Fullstack Programmer,PT Gratia Jaya Mulya,Serpong,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-27,Full time,"Qualifications & experienceBerpengalamanan minimal 1 tahunMemiliki setidaknya 3 prototypeMengerti dan bisa membuat skema database, flow chart, dan mockupMengerti database SQL maupun noSQLMemiliki pengalaman dengan PHP, Javascript dan jQueryMenggunakan framework fullstack seperti Laravel/CodeIgniter/ReactJSBerpengalaman dalam integrasi system baik menggunakan RestAPI, FTP maupun DB to DBMengerti mengenai version control, Clean Code, CICD dllFamiliar menggunakan Linux (Ubuntu,Debian dll)Mampun menjadi penyelesai masalah yang dialami userTasks & responsibilitiesMembuat program yang menunjang flow bussines perusahaanMelakukan integrasi antara programMembuat laporan harian, mingguan dan bulanan mengenai progress pengembangan aplikasiMelakukan support tehadap permintaan dan perbaikan program yang ada",https://www.jobstreet.co.id/id/job/75446657?type=standard&ref=search-standalone,75446657
IT Programmer,PT Megasetia Agung Kimia (Jakarta),Tanjung Priok,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-24,Full time,"Min pendidikan D3/S1 jurusan Teknik Informatika.Memiliki pengalaman kerja minimal 2 tahun dibidang PHP Programmer.Menguasai bahasa pemrograman PHP Native dan CI4.Menguasai Database MYSQL.Lebih disukai jika menguasai Laravel dan memahami troubleshoot komputer.Teliti, jujur, bertanggung jawab, komunikatif, dan mudah beradaptasi.Dapat bergabung segera.Penempatan: Sunter, Jakarta Utara.Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: PagiSelasa: PagiRabu: PagiKamis: PagiJum'at: PagiDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 24 May 2024",https://www.jobstreet.co.id/id/job/75388655?type=standard&ref=search-standalone,75388655
Fullstack Programmer,PT Gratia Jaya Mulya,Serpong,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-27,Full time,"Qualifications & experienceBerpengalamanan minimal 1 tahunMemiliki setidaknya 3 prototypeMengerti dan bisa membuat skema database, flow chart, dan mockupMengerti database SQL maupun noSQLMemiliki pengalaman dengan PHP, Javascript dan jQueryMenggunakan framework fullstack seperti Laravel/CodeIgniter/ReactJSBerpengalaman dalam integrasi system baik menggunakan RestAPI, FTP maupun DB to DBMengerti mengenai version control, Clean Code, CICD dllFamiliar menggunakan Linux (Ubuntu,Debian dll)Mampun menjadi penyelesai masalah yang dialami userTasks & responsibilitiesMembuat program yang menunjang flow bussines perusahaanMelakukan integrasi antara programMembuat laporan harian, mingguan dan bulanan mengenai progress pengembangan aplikasiMelakukan support tehadap permintaan dan perbaikan program yang ada",https://www.jobstreet.co.id/id/job/75446657?type=standard&ref=search-standalone,75446657
Frontend Engineer,PT Mediatics Digital Indonesia,Jakarta Raya,,Teknologi Informasi & Komunikasi,Teknik – Perangkat Lunak,,2024-04-28,Full time,"Job description & requirementsHi! we are looking for a Frontend Engineer for NXS Indonesia (sister company from Mediatics)
Job Descriptions 
Responsibilities:

Collaborate with teams to develop, test, and deploy software solutions.
Ensure code integrity and scalability of existing systems through maintenance and enhancements.
Design and implement new features adhering to best practices.
Investigate and resolve software defects/bugs promptly.
Create and maintain technical documentation.
Work closely with peers and stakeholders to analyze requirements and support team goals.
Stay updated on emerging technologies.
Assist in quality assurance processes.

Requirements:

Bachelor’s degree in Computer Science or related field.
1-3 years experience in software engineer.
Proficiency in Vue.js, including its library/plugin (pinia, nuxt, babel, etc)
Familiarity with version control systems (e.g., Git).
Good to have: Experience with Strapi.
Experience with other FrontEnd framework is a plus (React, Angular, etc)
Strong verbal and written communication skills.
Analytical mindset with proactive troubleshooting skills.
Ability to collaborate effectively within a team environment.
Meticulous attention to detail in delivering high-quality solutions.
Willingness to adapt to changing priorities and requirements.

Skills
Front-end Development
Software Engineering
Vue.js
Version Control
Communication Skills

CultureMediatics is a great atmosphere for those who are looking for a great place to play and grow
Benefits and perks of working with us include:
Compensation: Competitive salaries, Transportation, Company TripLifestyle: Casual dress code, Flexible hoursProgression: Professional developmentWelfare: Health insurance, Wellness programs",https://www.jobstreet.co.id/id/job/75179118?type=standard&ref=search-standalone,75179118
Programmer,PT UNISKAI PETUALANGAN SELANGIT,Medan Polonia,,Teknologi Informasi & Komunikasi,Developer/Programmer,"Bonus Quaterly, Tunjangan Kerajinan dan Bonus Kehadiran, Cuti Ulang Tahun",2024-04-24,Full time,"DESKRIPSI PEKERJAAN:Mengembangkan sistem aplikasi internal perusahaanUpdate dan maintenence terkait sistem dan software internal perusahaanResearch terkait pembaharuan dan perkembangan teknologi masa kini KUALIFIKASI :Menguasai Bahasa InggrisMemahami bahasa pemrograman : Phyton dan SQLBerpengalaman di bidang program development lebih disukaiMin. pendidikan S1 Teknik Informatika / Ilmu KomputerCekatan, teliti, dan cepat tanggapMampu berkomunikasi dengan baikJujur dan bertanggung jawab dalam bekerja Head Office : Uniskai - CBD Polonia Medan, Sumatera Utara",https://www.jobstreet.co.id/id/job/75377104?type=standout&ref=search-standalone,75377104
Programmer,PT Dharmapena Citra Media,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Developer/Programmer,"Jenjang Karir, BPJS",2024-04-25,Kontrak,"Responbilities :Developing Web & Mobile Application for internal & externalDevelop solutions to improve performance and capability of internal & external system Create technical and manual documentation Maintain & Existing Web and Apps Ensure the Web & Mobile Application runs smoothlyWriting computer instructions.Managing & Maintenance existing servers.Maintaining operating systems.Building reusable code libraries for future use, clean & scalable code.Profiling and analyzing algorithms.Implementing build systems.Requirements:Degree in computer science or computer programming.Having 2 years of full time backend/frontend is priorityFamiliar & Experience with PHP, Python, Java, JavaScript, Nodejs, Flutter (Android & IOS), Kotlin and Android Studio, PHP & Python Framework, Git, Cloud, Linux.End user-oriented.Expert IT skills.Strong aptitude for math.Advanced knowledge of operating systems.Analytical and problem-solving skillsAptitude for learning new technology.Deadline driven.Superior communication skills.Ready work on weekend if needed",https://www.jobstreet.co.id/id/job/75404971?type=standout&ref=search-standalone,75404971
IT Fullstack Developer,PT Akulaku Silvrr Indonesia,Jakarta Pusat,,Teknologi Informasi & Komunikasi,Developer/Programmer,"Multinational Culture, IT Asset, BPJS",2024-04-25,Kontrak,"ResponsibilitiesWeb app development, Mobile app development, Back end development:Feature development, bug fixing, development documentationSource code & Tech. DocImplement the javascript libraries needed for web app development. Write documentation to know how the application works. Changing the existing syntax to follow the latest syntax rules.System implementation and determining damage repair RequirementsBachelor DegreeWell understand about Front end, Back end and Mobile app programmingWell understand about Java, typescript, and PythonGood communication in Bahasa and English, Mandarin will be a plusGood critical thinking and problem solving skills",https://www.jobstreet.co.id/id/job/75401058?type=standout&ref=search-standalone,75401058
Frontend Developer Officer,PT Daidan Aditama Yaksa,Jakarta Pusat,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-28,Full time,"Qualifications: Bachelor's degree in Information Systems/Informations engineering or a related field.Have 2-3 years of experience working in a related field.Proficiency in HTML, CSS, and JavaScript: Ability to develop responsive and appealing layouts using HTML and CSS, as well as a strong understanding of basic JavaScript principles for interactivity in web applications.Knowledge and experience in using frontend frameworks such as ReactJS, Angular, or VueJS, which are commonly used to accelerate the development of modern web applications.Having a good understanding of user interface (UI) and user experience (UX) design principles, as well as the ability to effectively implement those designs in frontend development.Experience in designing and implementing responsive layouts, integrating backend APIs, and effectively handling user interactions.Willing to work onsite at Thamrin - Central Jakarta. Job Description: Develop user interfaces for web applications using HTML, CSS, and JavaScript.Collaborate with designers to translate design mockups and wireframes into responsive web pages.Implement frontend functionality using modern JavaScript frameworks such as ReactJS, Angular, or VueJS.Optimize web applications for maximum speed and scalability.Ensure cross-browser and cross-platform compatibility.Conduct code reviews and provide feedback to other developers.Troubleshoot and debug frontend issues.Stay up-to-date with frontend development trends and technologies.",https://www.jobstreet.co.id/id/job/75111321?type=standard&ref=search-standalone,75111321
SENIOR FULLSTACK DEVELOPER,Kerthi Bali Santhi,Denpasar,"Rp8,000,000 – Rp10,000,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-27,Kontrak,"Kualifikasi:Memiliki gelar sarjana di bidang Computer Science, Information Technology atau subjek sejenis.Pengalaman di bidang web programmer minimum 10 tahun.Penguasaan mendalam di bidang HTML, CSS, Javascript, SCRUM dan ITILPengetahuan dan pengalaman di bidang front-end frameworks dan libraries (Angular, React, Vue, Node.js).Pengetahuan dan pengalaman di bidang back-end frameworks dan libraries (PHP, Python, Laravel, Bootstrap, Tailwind).Penguasaan di bidang versioning tools Git, Git Flow, dan Git LFS.Pengetahuan dan pengalaman di bidang API, RestAPI, GraphQl, GRCP, Rabbit MQ dan consume API eksternal (Google API, Payment API).Pengetahuan dan pengalaman di bidang desain database (MySQL, PostgreSQL, MongoDB).Pengetahuan dan pengalaman development pada sistem monolith atau microservices.Memiliki ketelitian yang kuat, dengan kemampuan dalam analisis dan pemecahan masalah.Berpengalaman bekerja di dalam team.Interpersonal dan komunikasi yang baik. Deskripsi Pekerjaan:Memberikan bimbingan dan keputusan teknis kepada anggota tim, terutama para pengembang junior.Mengoptimalkan kinerja aplikasi secara keseluruhan, baik di sisi front-end maupun back-endMengidentifikasi, mengatasi dan menerapkan praktik keamanan yang baik pada tingkat kode dan infrastruktur.Terlibat dalam perencanaan dan pengelolaan proyek secara keseluruhan.Membangun dan memelihara API yang dapat diakses oleh front-end dan layanan pihak ketiga.Mendesain, mengelola dan optimasi database.Menggunakan sistem kontrol source code dan melakukan review dan kolaborasi dengan tim pengembang melalui platform GIT seperti GitHub, Gitlab atau Bitbucket.Melakukan pengujian unit, integrasi dan review aplikasi.Melakukan perbaikan masalah aplikasi dan optimasi kode program.Membuat laporan kebutuhan dan rencana proyek serta dokumentasi teknis.",https://www.jobstreet.co.id/id/job/75434060?type=standout&ref=search-standalone,75434060
Web Programmer (Trenggalek),PT Jasamedika Saranatama,Jawa Timur,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-28,Full time,"Deskripsi PekerjaanKualifikasi:Pendidikan D3 atau S1 (Teknik Informatika/Manajemen Informatika/Sistem Informatika/Teknik Komputer)Memiliki pengalaman minimal selama 2 tahunMemiliki inisiatif tinggi dan teliti dan mampu berkomunikasi dengan baikMenguasai Bahasa pemograman PHPMemiliki pengalaman menggunakan Framework PHP: LaravelMemiliki pengalaman menggunakan VueJS, AngularJSMenguasai Databse PostgreSQL, MongoDBTerbiasa dengan mendokumentasikan Code yang dibuatDiutamakan untuk yang berdomisili di Trenggalek dan Sekitarnya​Bersedia untuk melakukan pejalanan keluar kota Deskripsi Pekerjaan:Melakukan support aplikasi/ produk yang diimplementasikan, melakukan penambahan–penambahan dalam sebuah aplikasi/ produk sesuai permintaan user, serta melakukan maintainance dan troubleshooting.Bertanggung jawab terhadap keakuratan pengerjaan customize dan change request sesuai dengan kebutuhan userMembangun aplikasi sesuai rancangan perencanaanMelakukan komunikasi dengan Business Process Analyst dalam menerima dara requirement, change request, master data, gap analyst dan informasi lain.Mengimplementasikan coding stored procedure (Repository, presenter, view dan service) yang diperlukan dalam aplikasi sesuai dengan struktur dan standar penulisan code yang telah ditentukan.",https://www.jobstreet.co.id/id/job/75230431?type=standard&ref=search-standalone,75230431
Web Programmer,CV Kabayan Consulting,Bandung,Rp3.400.000 – Rp5.100.000 per month,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-28,Full time,"Deskripsi Pekerjaan:Membuat atau mengembangkan aplikasi web / mobile (Full Stack Developer)Melakukan tugas sesuai requirement project managerMaintenance dan improvement aplikasi existingMembuat dokumentasi aplikasiMenyusun prototipe dan mockup aplikasiMembuat manual aplikasi dan melakukan pengujian pada aplikasi yang telah dikembangkanPersyaratan Wajib:SMK, D3, S1, ataupun S2 dari berbagai bidang pendidikan.Menguasai teknologi web, diutamakan memiliki portofolio aplikasi baik tugas kuliah maupun proyek lainnya.Menguasai Bahasa pemrograman PHP, mengetahui teknologi lain merupakan nilai tambah.Menguasai framework laravel / Codeigniter lebih disukai.Menguasai RDBMS seperti MySQL, PostgreSQL.Menguasai HTML dan CSS dasar.Mampu bekerja dalam tim, bekerja dengan deadline yang ketat, dan supervisi yang minimal.Lolos tes programming (2 tahap) dan tes wawancara; tidak ada persyaratan latar belakang dan strata pendidikan.Penempatan awal di Bandung Raya (area Gn. Batu)Fresh Graduate juga disarankan untuk mendaftarFasiltas yang didapatkan:Gaji tetapGaji variabelTunjangan lembur yang dihitung fleksibelTunjangan perjalanan dinasMakan siang di kantorTunjangan Komunikasi (pulsa)BPJS KetenagakerjaanAsuransi Kesehatan Swasta atau BPJS KesehatanJam kerja yang fleksibelFree-flow espresso & capuccino",https://www.jobstreet.co.id/id/job/75247222?type=standout&ref=search-standalone,75247222
Senior Mobile Front End Developer,PT Appfuxion Consulting,Jakarta Raya,,Teknologi Informasi & Komunikasi,Teknik – Perangkat Lunak,,2024-04-28,Full time,"Job description & requirementsScope of Work:

Be part of Mobile Banking full stack squad (web+ mobile + BE + QA)
Be present in all scrum ceremonies (sprint planning, review, retro, daily). Normally online except for Sprint Planning or Retro where onsite would be more effective.
Participate and contribute in Requirement/Story Grooming and Design sessions- understand requirements, test acceptance criteria and application design
Pick up stories to develop or bugs to fix/refactor during the sprint
Development may consist of developing new features on Kony (JS) and well as bridging native library/SDK into Kony.
Take up any patching or fix pack upgrade tasks for Kony Visualizer (KT will be provided).
Collaborate with peers (backend developers, solutions architects, QA, BA) during development and in-sprint testing
Engage in problem-solving to resolve issues that require analysis and effective communications
Prepare build for non-prod deployment. Note: build and deployment can only be done on-site, frequency: as and when required.
Support, troubleshoot, and resolve defects during in-sprint testing and UAT phase
Communicate with squad members and scrum master for planned leaves before sprint planning
For effective knowledge transfer upon onboarding, it is recommended to be onsite during the first two weeks alongside RHB developers to install and familiarize with the tools.Requirements:



Bachelor’s degree in computer science, information technology, or a similar field.
Previous experience working as a mobile developer, react native with 3+ years of experience.
Native iOS programming - Objective C/Native Android programming - Java
Knowledgeable in git and branching
Able to test on iOS/Android device locally

Skills
Objective-C
iOS Development
Mobile Development
Android

Culture
At PT Appfuxion Consulting Indonesia, we are fast paced, innovative, collaborative, passionate and adaptable.
Benefits and perks of working with us include:
Compensation: Competitive salariesLifestyle: Flexible hoursProgression: Professional development
AppFuxion Consulting has approximately 450 skilled and experienced digital solution professionals from software blueprint, architecture, process automation, quality assurance to project management. We bring years of experience in delivering digital solutions tailored to your business requirements.
Our specialists are industry proven consultants that can architect the right solution, devise a practical delivery plan and deliver customer-centric services to meet our client’s requirements. To further emphasize on our customer-centric approach, we ensure that we are a natural extension of our client’s team; reducing cost, duration, and complexity of our client’s projects while delivering the right digital solutions all within the required timeline.",https://www.jobstreet.co.id/id/job/75275354?type=standard&ref=search-standalone,75275354
"Web Programmer (Pasaman, Sumatera Barat)",PT Jasamedika Saranatama,Sumatera Barat,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-28,Full time,"Kualifikasi:Pendidikan D3 atau S1 (Teknik Informatika/Manajemen Informatika/Sistem Informasi)Memiliki inisiatif tinggi dan teliti dan mampu berkomunikasi dengan baikMenguasai Bahasa pemrograman PHPMemiliki pengalaman menggunakan Framework PHP: LaravelMemiliki pengalaman menggunakan AngularJSMenguasai Database (Stored Procedure, Function, View, Trigger), menggunakan SQL Server 2008Mengerti dan dapat mengimplementasikan Konsep OOPMengerti dan dapat mengimplementasikan Design PatternTerbiasa dengan mendokumentasikan Code yang dibuatPengalaman kerja dalam bidang yang sama merupakan nilai tambah, fresh graduates are welcomed to applyDiutamakan untuk yang berdomisili di Kabupaten Pasaman dan Sekitarnya​ Deskripsi Pekerjaan:Melakukan support aplikasi/ produk yang diimplementasikan, melakukan penambahan–penambahan dalam sebuah aplikasi/ produk sesuai permintaan user, serta melakukan maintainance dan troubleshooting.",https://www.jobstreet.co.id/id/job/75252541?type=standout&ref=search-standalone,75252541
Software Engineer,PT KOLTIVA,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-24,Full time,"This role will take responsibility for the central roles for building Koltiva's web application. Responsibilities:Develop a scalable and robust web application by writing and implementing efficient code according to industry standards and best practices.Process application testing and validation procedures.Maintain application by modifying software to fix errors, improve its performance, or upgrade interfaces.Identify problems uncovered from feedback, testing, and correcting to make apps solution.Requirements:Bachelor’s degree in information technology or related field.At least 3+ years of experience in building interactive web applications using HTML5, CSS3 and JavascriptFamiliarity with design tools like Figma, Sketch, Overflow etc to be able to successfully collaborate with product and UX designersSolid command over Vue JS with the flavor of TypeScriptKeen design and UX sense to analyze and understand the designs and wireframes.Good understanding of common web security threats and practices along with OWASP 10Familiarity with infrastructure for deployment and delivery of frontend experiencesExperience with nodejs, package management with npm/yarn, transpilation with babel/TypeScript, bundling with rollup/webpack to be used as a BFF serverCompassionate collaboration skills to work effectively in a diverse, cross functional team",https://www.jobstreet.co.id/id/job/75371146?type=standout&ref=search-standalone,75371146
Full Stack Developer,PT ANCALA PRAYA LOGISTIK,Surabaya,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-23,Kontrak,"Deskripsi Pekerjaan: Kami mencari Full Stack Developer yang berpengalaman untuk bergabung dengan tim pengembangan software kami. Sebagai Full Stack Developer, Anda akan bertanggung jawab untuk merancang, mengembangkan, dan memelihara aplikasi web dan software perusahaan kami dari awal hingga akhir.  Kualifikasi: Pendidikan minimal S1 Teknik Informatika, Teknik Komputer, Manajemen Informatika, Sistem Informasi, Ilmu Komputer, Teknologi Informatika dan jurusan yang berhubungan. Pengalaman kerja minimal 2 tahun di bidang yang serupa. Keahlian dalam bahasa pemrograman seperti JavaScript, Python, atau Java. Pengalaman dalam pengembangan aplikasi web menggunakan kerangka kerja frontend seperti React, Angular, atau Vue.js. Kemampuan dalam pengembangan backend dengan menggunakan Node.js, Django, Flask, atau kerangka kerja serupa. Pemahaman yang kuat tentang database SQL dan NoSQL, serta pengalaman dalam merancang skema database. Pengetahuan tentang praktik-praktik pengujian perangkat lunak dan metodologi pengembangan seperti Agile atau Scrum. Kemampuan komunikasi dan kolaborasi yang baik dengan anggota tim lainnya. Kreatif, inovatif, proaktif, dan mampu memecahkan masalah dengan cepat.  Lokasi: Surabaya (Hybrid)",https://www.jobstreet.co.id/id/job/75342160?type=standard&ref=search-standalone,75342160
Fullstack Developer,PT Rapid Teknologi Indonesia,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-23,Kontrak,"Requirements:Bachelor's degree of Informatics Engineering/Computer Engineering/Information System, Min GPA 3.00 (scale 4.00)Having 1-2 years working experience in fullstack programming (backend & frontend).Strong undestanding for Java, Javascript, Jquery, Webservices, and TomcatHaving knowledge with one (or more) of this database; Oracle, MySQL, MsSQLHaving ability to develop new applications and implement IT System development projects. Job Responsibilities:Develop and maintain both front-end and back-end components of mobile applications.Conducting all unit testing on the system that has been made to teamCreate and implement programming logic to develop IT system.",https://www.jobstreet.co.id/id/job/75345551?type=standard&ref=search-standalone,75345551
Node. js  Developer,PT Lawencon Internasional,Jakarta Raya,,Teknologi Informasi & Komunikasi,Teknik – Perangkat Lunak,"Upgrade Skill, New Project Experience",2024-04-23,Full time,"Developing and maintaining all server-side network componentsEnsuring optimal performance of the central database and responsiveness to front-end requestsCollaborating with front-end developers on the integration of elementsDesigning customer-facing UI and back-end services for various business processesDeveloping high-performance applications by writing testable, reusable, and efficient codeImplementing effective security protocols, data protection measures, and storage solutionsRunning diagnostic tests, repairing defects, and providing technical supportDocumenting Node.js processes, including database schemas, as well as preparing reportsRecommending and implementing improvements to processes and technologiesKeeping informed of advancements in the field of Node.js developmentRequirement:Bachelor's degree in Engineering: Computer/Information/Tech/Science/Math/or relevant studiesHaving experiences with two or more projects using Node. jsAt least 2 Year(s) of working experience in the related field is required for this positionAdvanced-level: data structure, design pattern, understanding of the web stack, developing services that serves HTTP Restful API, testingFluent with NodeJS and also their framework such as NestJS and ExpressExperience with MongoDB and PostgreSOLExperience with RedisFamiliar with Elastic SearchFamiliar with Git as Version control System and Linux environtmentExperience with Event-Driven Architecture such as Kafka or RabbitMOStrong written, verbal communication skills, logical thinking and backend knowledgeExperience with external libraries and APIsFast learner, good problem solving, teamwork and analytical skills",https://www.jobstreet.co.id/id/job/75349950?type=standout&ref=search-standalone,75349950
IT Web Developer,PT.BANDUNG ECO SINERGY TEKNOLOGI,Bandung,"Rp6,000,000 – Rp9,000,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-28,Full time,"Deskripsi Pekerjaan Tugas dan Tanggung Jawab:Mampu mengembangkan dan memelihara websiteMemberikan support kepada divisi lain sesuai dengan kebutuhanMembuat sistem sesuai dengan kebutuhan divisi lainMembuat konsep desain website dan menyelesaikannya sesuai dengan kebutuhan perusahaanMelakukan tugas lainnya yang berkaitan dengan web developer dan programmerBerdomisili di Bandung Kualifikasi:Berpengalaman di bidang IT minimal 2 tahun sangat diutamakanMemiliki kemampuan dalam mengembangkan website yang dikendalikan oleh databaseMemahami proses pembuatan website dan mampu membuatnyaMemiliki dasar pengetahuan yang baik tentang teknik pemrograman object orientedMemiliki pengetahuan tentang desain website, terutama website mobile friendlyMemiliki kemampuan dan pemahaman tentang bahasa pemrograman PHP, HTML5, CSS, dan JavaScript, JQueryMemiliki kemampuan dan pemahaman tentang CMS seperti CI dan Laravel dengan ORMMampu mengelola Restfull API, database MySQL, dan SQLMemiliki kemampuan menulis dan membuat kode-kode dengan rapiBerwawasan luas dan teliti dalam membuat programMampu berkomunikasi dengan baik dan berkolaborasi dengan anggota tim serta divisi lainMemiliki motivasi dan keinginan untuk belajar yang tinggiSelalu berpikir positif dan memiliki attitude yang baik Benefit:SalaryBreakfast/LunchBPJS",https://www.jobstreet.co.id/id/job/75197734?type=standout&ref=search-standalone,75197734
Mobile App Developer (React Native),PT Colliers International Indonesia,Jakarta Raya,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-24,Full time,"Currently, we're looking for a React Native programmer to develop our Integrated Facilities Management system. This position is also open for a freelance-based type of work but still requires working from our head office at least 2 days per week.Responsibilities:Design and develop an application for the iOS, and Android platforms.Handle software updates & patches.Upload in Play Store, and Apple Store.Work closely with the development team on defining and providing input on the development process.Troubleshooting problems in the field.Requirements:Possess a degree in computer science or information systemFamiliar with JavaScriptStrong knowledge of HTML and CSSIn-depth knowledge of React.js and its fundamentalsKnowledge of UI/UX designs and wireframes like FigmaHands-on experience with React tools like Webpack, Enzyme, React.js, Flux, and ReduxFamiliar with REST APIsKnowledge of data structures libraries like Immutable.jsExperience with source-code management systems like GitGood troubleshooting skillsGood communication skills, including excellent command of verbal and written English skills",https://www.jobstreet.co.id/id/job/75382965?type=standard&ref=search-standalone,75382965
Full Stack Developer,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,"Rp6,350,000 – Rp9,500,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-24,Kontrak,"Req :Min S1, GPA : 3.50Max 35 years oldMin 2 years experienceFront : React JSBack : Node js / Python (Fast API)/ Golang",https://www.jobstreet.co.id/id/job/75382626?type=standout&ref=search-standalone,75382626
